Question	Response	Collector	project_Title	Name of PI or project lead(s)	Please enter your name	Type of Project	Project Stage	Year Awarded	Faculty_School	Department	Short description of project	Course Format	Course_Level	Course Type	Enrolment Cap	Course Location	source	target	source long name	target long name	value	matrix
"[IMP_APP.3] I evaluate the impact on… [INTENDED AREA OF IMPACT] using… [EVALUATION APPROACH]: (choose all that apply) | Attitudes (e.g., perceptions about discipline)"	Attitude surveys	EvalViz_SotlSeed	Negotiating Change: Determining the readiness of second-year students for self-directed learning.	Gail Hammond; Alice Cassidy	N/A	SoTL seed	Planning	2015	"Land and Food Systems, Faculty of"	"Food, Nutrition & Health"	"This project is unique in being a multi-level needs assessment that investigates the experiences, understanding and perceptions of self-directed learning (SDL) held by current students registered in two large introductory nutrition classes (same course) and current teaching assistants who were former students in the course. The implications of this research will determine opportunities for developing greater student autonomy in learning early in a 4-year undergraduate program."	"Lecture, seminar, tutorial, capstone project"	200-400	Required	Medium (50-150 students)	On campus (NOT blended)	Attitudes and motivation	Attitude surveys	"Attitudes and motivation (e.g., personal goals, perceptions about discipline)."	Attitude surveys	1	impactXapproach
"[IMP_APP.4] I evaluate the impact on… [INTENDED AREA OF IMPACT] using… [EVALUATION APPROACH]: (choose all that apply) | Motivation (e.g., personal goals)"	Attitude surveys	EvalViz_SotlSeed	Negotiating Change: Determining the readiness of second-year students for self-directed learning.	Gail Hammond; Alice Cassidy	N/A	SoTL seed	Planning	2015	"Land and Food Systems, Faculty of"	"Food, Nutrition & Health"	"This project is unique in being a multi-level needs assessment that investigates the experiences, understanding and perceptions of self-directed learning (SDL) held by current students registered in two large introductory nutrition classes (same course) and current teaching assistants who were former students in the course. The implications of this research will determine opportunities for developing greater student autonomy in learning early in a 4-year undergraduate program."	"Lecture, seminar, tutorial, capstone project"	200-400	Required	Medium (50-150 students)	On campus (NOT blended)	Attitudes and motivation	Attitude surveys	"Attitudes and motivation (e.g., personal goals, perceptions about discipline)."	Attitude surveys	1	impactXapproach
"[IMP_APP.5] I evaluate the impact on… [INTENDED AREA OF IMPACT] using… [EVALUATION APPROACH]: (choose all that apply) | Actions and behaviours (e.g.,time on task, enrolment)"	Attitude surveys	EvalViz_SotlSeed	Negotiating Change: Determining the readiness of second-year students for self-directed learning.	Gail Hammond; Alice Cassidy	N/A	SoTL seed	Planning	2015	"Land and Food Systems, Faculty of"	"Food, Nutrition & Health"	"This project is unique in being a multi-level needs assessment that investigates the experiences, understanding and perceptions of self-directed learning (SDL) held by current students registered in two large introductory nutrition classes (same course) and current teaching assistants who were former students in the course. The implications of this research will determine opportunities for developing greater student autonomy in learning early in a 4-year undergraduate program."	"Lecture, seminar, tutorial, capstone project"	200-400	Required	Medium (50-150 students)	On campus (NOT blended)	Actions and behaviours	Attitude surveys	"Actions and behaviours (e.g.,time on task, enrolment)"	Attitude surveys	1	impactXapproach
"[IMP_APP.5] I evaluate the impact on… [INTENDED AREA OF IMPACT] using… [EVALUATION APPROACH]: (choose all that apply) | Actions and behaviours (e.g.,time on task, enrolment)"	Knowledge tests	EvalViz_SotlSeed	Negotiating Change: Determining the readiness of second-year students for self-directed learning.	Gail Hammond; Alice Cassidy	N/A	SoTL seed	Planning	2015	"Land and Food Systems, Faculty of"	"Food, Nutrition & Health"	"This project is unique in being a multi-level needs assessment that investigates the experiences, understanding and perceptions of self-directed learning (SDL) held by current students registered in two large introductory nutrition classes (same course) and current teaching assistants who were former students in the course. The implications of this research will determine opportunities for developing greater student autonomy in learning early in a 4-year undergraduate program."	"Lecture, seminar, tutorial, capstone project"	200-400	Required	Medium (50-150 students)	On campus (NOT blended)	Actions and behaviours	Knowledge tests	"Actions and behaviours (e.g.,time on task, enrolment)"	Knowledge tests	1	impactXapproach
"[INN_IMP.0] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | In-class group work (e.g., small group discussions, group presentations, worksheets)"	"Course specific knowledge (including program specific knowledge, e.g., the French revolution, F=ma)"	EvalViz_SotlSeed	Two Stage Review of Math and Physics Concepts	Sara Harris 	N/A	SoTL seed	In progress	2015	"Science, Faculty of"	EOAS 	"EOSC 340, Global Climate Change, is a math- and physics-intensive course open to science and engineering students at UBC. This project aims to develop, implement and evaluate a two-stage math and physics review aimed to improve student transfer of 1st year math and physics concepts to applications in upper level science courses."	"Lecture, seminar, tutorial, capstone project"	200-400	Elective	High (more than 150 students)	On campus (NOT blended)	Active learning - short activities	Course specific knowledge	"Active Learning - short activities (one or more single-session activities, e.g., clickers)"	"Course specific knowledge (including program specific knowledge, e.g., the French revolution, F=ma)"	1	innovationXimpact
"[INN_IMP.1] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | Out-of-class group work (e.g., projects)"	"Course specific knowledge (including program specific knowledge, e.g., the French revolution, F=ma)"	EvalViz_SotlSeed	Two Stage Review of Math and Physics Concepts	Sara Harris 	N/A	SoTL seed	In progress	2015	"Science, Faculty of"	EOAS 	"EOSC 340, Global Climate Change, is a math- and physics-intensive course open to science and engineering students at UBC. This project aims to develop, implement and evaluate a two-stage math and physics review aimed to improve student transfer of 1st year math and physics concepts to applications in upper level science courses."	"Lecture, seminar, tutorial, capstone project"	200-400	Elective	High (more than 150 students)	On campus (NOT blended)	Active learning - multi-session activities	Course specific knowledge	"Active Learning - multi-session activities (e.g., capstone projects)"	"Course specific knowledge (including program specific knowledge, e.g., the French revolution, F=ma)"	1	innovationXimpact
"[INN_IMP.3] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | Other in-class active learning (e.g., clickers, games)"	"Course specific knowledge (including program specific knowledge, e.g., the French revolution, F=ma)"	EvalViz_SotlSeed	Two Stage Review of Math and Physics Concepts	Sara Harris 	N/A	SoTL seed	In progress	2015	"Science, Faculty of"	EOAS 	"EOSC 340, Global Climate Change, is a math- and physics-intensive course open to science and engineering students at UBC. This project aims to develop, implement and evaluate a two-stage math and physics review aimed to improve student transfer of 1st year math and physics concepts to applications in upper level science courses."	"Lecture, seminar, tutorial, capstone project"	200-400	Elective	High (more than 150 students)	On campus (NOT blended)	Active learning - short activities	Course specific knowledge	"Active Learning - short activities (one or more single-session activities, e.g., clickers)"	"Course specific knowledge (including program specific knowledge, e.g., the French revolution, F=ma)"	1	innovationXimpact
"[INN_IMP.13] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | Other assessment (e.g., two-stage exam)"	"Course specific knowledge (including program specific knowledge, e.g., the French revolution, F=ma)"	EvalViz_SotlSeed	Two Stage Review of Math and Physics Concepts	Sara Harris 	N/A	SoTL seed	In progress	2015	"Science, Faculty of"	EOAS 	"EOSC 340, Global Climate Change, is a math- and physics-intensive course open to science and engineering students at UBC. This project aims to develop, implement and evaluate a two-stage math and physics review aimed to improve student transfer of 1st year math and physics concepts to applications in upper level science courses."	"Lecture, seminar, tutorial, capstone project"	200-400	Elective	High (more than 150 students)	On campus (NOT blended)	Assessment - other	Course specific knowledge	"Assessment - other (e.g., two-stage exams, diagnostics)"	"Course specific knowledge (including program specific knowledge, e.g., the French revolution, F=ma)"	1	innovationXimpact
"[IMP_APP.0] I evaluate the impact on… [INTENDED AREA OF IMPACT] using… [EVALUATION APPROACH]: (choose all that apply) | Course/program specific knowledge (e.g., the French revolution, F=ma)"	Interviews	EvalViz_SotlSeed	Two Stage Review of Math and Physics Concepts	Sara Harris 	N/A	SoTL seed	In progress	2015	"Science, Faculty of"	EOAS 	"EOSC 340, Global Climate Change, is a math- and physics-intensive course open to science and engineering students at UBC. This project aims to develop, implement and evaluate a two-stage math and physics review aimed to improve student transfer of 1st year math and physics concepts to applications in upper level science courses."	"Lecture, seminar, tutorial, capstone project"	200-400	Elective	High (more than 150 students)	On campus (NOT blended)	Course specific knowledge	Interviews	"Course specific knowledge (including program specific knowledge, e.g., the French revolution, F=ma)"	Interviews	1	impactXapproach
"[IMP_APP.0] I evaluate the impact on… [INTENDED AREA OF IMPACT] using… [EVALUATION APPROACH]: (choose all that apply) | Course/program specific knowledge (e.g., the French revolution, F=ma)"	Knowledge tests	EvalViz_SotlSeed	Two Stage Review of Math and Physics Concepts	Sara Harris 	N/A	SoTL seed	In progress	2015	"Science, Faculty of"	EOAS 	"EOSC 340, Global Climate Change, is a math- and physics-intensive course open to science and engineering students at UBC. This project aims to develop, implement and evaluate a two-stage math and physics review aimed to improve student transfer of 1st year math and physics concepts to applications in upper level science courses."	"Lecture, seminar, tutorial, capstone project"	200-400	Elective	High (more than 150 students)	On campus (NOT blended)	Course specific knowledge	Knowledge tests	"Course specific knowledge (including program specific knowledge, e.g., the French revolution, F=ma)"	Knowledge tests	1	impactXapproach
"[IMP_APP.0] I evaluate the impact on… [INTENDED AREA OF IMPACT] using… [EVALUATION APPROACH]: (choose all that apply) | Course/program specific knowledge (e.g., the French revolution, F=ma)"	Secondary data	EvalViz_SotlSeed	Two Stage Review of Math and Physics Concepts	Sara Harris 	N/A	SoTL seed	In progress	2015	"Science, Faculty of"	EOAS 	"EOSC 340, Global Climate Change, is a math- and physics-intensive course open to science and engineering students at UBC. This project aims to develop, implement and evaluate a two-stage math and physics review aimed to improve student transfer of 1st year math and physics concepts to applications in upper level science courses."	"Lecture, seminar, tutorial, capstone project"	200-400	Elective	High (more than 150 students)	On campus (NOT blended)	Course specific knowledge	Secondary data	"Course specific knowledge (including program specific knowledge, e.g., the French revolution, F=ma)"	Secondary data	1	impactXapproach
"[INN_IMP.0] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | In-class group work (e.g., small group discussions, group presentations, worksheets)"	"Course specific knowledge (including program specific knowledge, e.g., the French revolution, F=ma)"	EvalViz_SotlSeed	Aptitude for Knowledge Transfer Across Disciplinary Boundaries	"James Charbonneau, Christopher Addison"	N/A	SoTL seed	In progress	2015	"Science, Faculty of"	Science One	Develop a measure of interdisciplinary learning across Science One concepts. 	"Lecture, seminar, tutorial, capstone project"	200-400	Required	Medium (50-150 students)	On campus (NOT blended)	Active learning - short activities	Course specific knowledge	"Active Learning - short activities (one or more single-session activities, e.g., clickers)"	"Course specific knowledge (including program specific knowledge, e.g., the French revolution, F=ma)"	1	innovationXimpact
"[INN_IMP.0] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | In-class group work (e.g., small group discussions, group presentations, worksheets)"	"Lifelong skills (including professional skills, e.g., collaboration, critical/interdisciplinary thinking)"	EvalViz_SotlSeed	Aptitude for Knowledge Transfer Across Disciplinary Boundaries	"James Charbonneau, Christopher Addison"	N/A	SoTL seed	In progress	2015	"Science, Faculty of"	Science One	Develop a measure of interdisciplinary learning across Science One concepts. 	"Lecture, seminar, tutorial, capstone project"	200-400	Required	Medium (50-150 students)	On campus (NOT blended)	Active learning - short activities	Lifelong learning skills	"Active Learning - short activities (one or more single-session activities, e.g., clickers)"	"Lifelong skills (including professional skills, e.g., collaboration, critical/interdisciplinary thinking)"	1	innovationXimpact
"[INN_IMP.0] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | In-class group work (e.g., small group discussions, group presentations, worksheets)"	"Actions and behaviours (e.g.,time on task, enrolment)"	EvalViz_SotlSeed	Aptitude for Knowledge Transfer Across Disciplinary Boundaries	"James Charbonneau, Christopher Addison"	N/A	SoTL seed	In progress	2015	"Science, Faculty of"	Science One	Develop a measure of interdisciplinary learning across Science One concepts. 	"Lecture, seminar, tutorial, capstone project"	200-400	Required	Medium (50-150 students)	On campus (NOT blended)	Active learning - short activities	Actions and behaviours	"Active Learning - short activities (one or more single-session activities, e.g., clickers)"	"Actions and behaviours (e.g.,time on task, enrolment)"	1	innovationXimpact
"[INN_IMP.1] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | Out-of-class group work (e.g., projects)"	"Course specific knowledge (including program specific knowledge, e.g., the French revolution, F=ma)"	EvalViz_SotlSeed	Aptitude for Knowledge Transfer Across Disciplinary Boundaries	"James Charbonneau, Christopher Addison"	N/A	SoTL seed	In progress	2015	"Science, Faculty of"	Science One	Develop a measure of interdisciplinary learning across Science One concepts. 	"Lecture, seminar, tutorial, capstone project"	200-400	Required	Medium (50-150 students)	On campus (NOT blended)	Active learning - multi-session activities	Course specific knowledge	"Active Learning - multi-session activities (e.g., capstone projects)"	"Course specific knowledge (including program specific knowledge, e.g., the French revolution, F=ma)"	1	innovationXimpact
"[INN_IMP.1] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | Out-of-class group work (e.g., projects)"	"Lifelong skills (including professional skills, e.g., collaboration, critical/interdisciplinary thinking)"	EvalViz_SotlSeed	Aptitude for Knowledge Transfer Across Disciplinary Boundaries	"James Charbonneau, Christopher Addison"	N/A	SoTL seed	In progress	2015	"Science, Faculty of"	Science One	Develop a measure of interdisciplinary learning across Science One concepts. 	"Lecture, seminar, tutorial, capstone project"	200-400	Required	Medium (50-150 students)	On campus (NOT blended)	Active learning - multi-session activities	Lifelong learning skills	"Active Learning - multi-session activities (e.g., capstone projects)"	"Lifelong skills (including professional skills, e.g., collaboration, critical/interdisciplinary thinking)"	1	innovationXimpact
"[INN_IMP.1] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | Out-of-class group work (e.g., projects)"	"Actions and behaviours (e.g.,time on task, enrolment)"	EvalViz_SotlSeed	Aptitude for Knowledge Transfer Across Disciplinary Boundaries	"James Charbonneau, Christopher Addison"	N/A	SoTL seed	In progress	2015	"Science, Faculty of"	Science One	Develop a measure of interdisciplinary learning across Science One concepts. 	"Lecture, seminar, tutorial, capstone project"	200-400	Required	Medium (50-150 students)	On campus (NOT blended)	Active learning - multi-session activities	Actions and behaviours	"Active Learning - multi-session activities (e.g., capstone projects)"	"Actions and behaviours (e.g.,time on task, enrolment)"	1	innovationXimpact
"[INN_IMP.3] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | Other in-class active learning (e.g., clickers, games)"	"Course specific knowledge (including program specific knowledge, e.g., the French revolution, F=ma)"	EvalViz_SotlSeed	Aptitude for Knowledge Transfer Across Disciplinary Boundaries	"James Charbonneau, Christopher Addison"	N/A	SoTL seed	In progress	2015	"Science, Faculty of"	Science One	Develop a measure of interdisciplinary learning across Science One concepts. 	"Lecture, seminar, tutorial, capstone project"	200-400	Required	Medium (50-150 students)	On campus (NOT blended)	Active learning - short activities	Course specific knowledge	"Active Learning - short activities (one or more single-session activities, e.g., clickers)"	"Course specific knowledge (including program specific knowledge, e.g., the French revolution, F=ma)"	1	innovationXimpact
"[INN_IMP.3] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | Other in-class active learning (e.g., clickers, games)"	"Actions and behaviours (e.g.,time on task, enrolment)"	EvalViz_SotlSeed	Aptitude for Knowledge Transfer Across Disciplinary Boundaries	"James Charbonneau, Christopher Addison"	N/A	SoTL seed	In progress	2015	"Science, Faculty of"	Science One	Develop a measure of interdisciplinary learning across Science One concepts. 	"Lecture, seminar, tutorial, capstone project"	200-400	Required	Medium (50-150 students)	On campus (NOT blended)	Active learning - short activities	Actions and behaviours	"Active Learning - short activities (one or more single-session activities, e.g., clickers)"	"Actions and behaviours (e.g.,time on task, enrolment)"	1	innovationXimpact
"[INN_IMP.14] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | Program level curricular modifications (e.g., learning outcomes alignment)"	"Course specific knowledge (including program specific knowledge, e.g., the French revolution, F=ma)"	EvalViz_SotlSeed	Aptitude for Knowledge Transfer Across Disciplinary Boundaries	"James Charbonneau, Christopher Addison"	N/A	SoTL seed	In progress	2015	"Science, Faculty of"	Science One	Develop a measure of interdisciplinary learning across Science One concepts. 	"Lecture, seminar, tutorial, capstone project"	200-400	Required	Medium (50-150 students)	On campus (NOT blended)	Program structure	Course specific knowledge	"Program Structure (e.g., learning outcomes alignment)"	"Course specific knowledge (including program specific knowledge, e.g., the French revolution, F=ma)"	1	innovationXimpact
"[INN_IMP.14] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | Program level curricular modifications (e.g., learning outcomes alignment)"	"Actions and behaviours (e.g.,time on task, enrolment)"	EvalViz_SotlSeed	Aptitude for Knowledge Transfer Across Disciplinary Boundaries	"James Charbonneau, Christopher Addison"	N/A	SoTL seed	In progress	2015	"Science, Faculty of"	Science One	Develop a measure of interdisciplinary learning across Science One concepts. 	"Lecture, seminar, tutorial, capstone project"	200-400	Required	Medium (50-150 students)	On campus (NOT blended)	Program structure	Actions and behaviours	"Program Structure (e.g., learning outcomes alignment)"	"Actions and behaviours (e.g.,time on task, enrolment)"	1	innovationXimpact
"[IMP_APP.0] I evaluate the impact on… [INTENDED AREA OF IMPACT] using… [EVALUATION APPROACH]: (choose all that apply) | Course/program specific knowledge (e.g., the French revolution, F=ma)"	Attitude surveys	EvalViz_SotlSeed	Aptitude for Knowledge Transfer Across Disciplinary Boundaries	"James Charbonneau, Christopher Addison"	N/A	SoTL seed	In progress	2015	"Science, Faculty of"	Science One	Develop a measure of interdisciplinary learning across Science One concepts. 	"Lecture, seminar, tutorial, capstone project"	200-400	Required	Medium (50-150 students)	On campus (NOT blended)	Course specific knowledge	Attitude surveys	"Course specific knowledge (including program specific knowledge, e.g., the French revolution, F=ma)"	Attitude surveys	1	impactXapproach
