current_file:.\parsedData\94792123_a2.txt														
1363905654199.00	0.00	 'system'	 'phetFrame'	 'window'	 'resized'	 'width = 1024'	 'height = 768\n']-> <<BEFORE>> first user action!							
1363905692082.00	30.65	 'user'	 'junction.42'	 'sprite'	 'movedJunction'	 'x = 10.465116279069768'	 'y = 7.7984496124031'	 'component = wire.0.endJunction'	 'component = wire.2.startJunction\n']-> 1363905692082:movedJunction.junction -> None	Organize	organizeWorkspace	junction		
1363905697179.00	35.75	 'user'	 'junction.41'	 'sprite'	 'movedJunction'	 'x = 10.527131782945736'	 'y = 6.093023255813954'	 'component = wire.2.endJunction\n']-> 1363905697179:movedJunction.junction -> None	Organize	organizeWorkspace	junction			
1363905698824.00	37.39	 'user'	 'wire.3'	 'sprite'	 'addedComponent'	 '\n']-> 1363905698824:addedComponent.wire -> None	Build	add	wire					
1363905699884.00	38.45	 'model'	 'junction.45'	 'junction'	 'junctionFormed'	 'component = wire.1.startJunction'	 'component = wire.3.endJunction\n']-> 1363905699884:junctionFormed.junction -> None	Build	join	wire				
1363905702106.00	40.68	 'user'	 'junction.43'	 'sprite'	 'movedJunction'	 'x = 2.0775193798449614'	 'y = 6.0310077519379846'	 'component = wire.3.startJunction\n']-> 1363905702106:movedJunction.junction -> None	Organize	organizeWorkspace	junction			
1363905703850.00	42.42	 'user'	 'lightBulb.0'	 'sprite'	 'addedComponent'	 '\n']-> 1363905703850:addedComponent.lightBulb -> None	Build	add	lightBulb					
1363905708459.00	47.03	 'user'	 'lightBulb.0'	 'sprite'	 'movedComponent'	 'x = 1.8169642901069076'	 'y = 4.772182996714798'	 'x2 = 2.121020206017123'	 'y2 = 4.4681270808045825\n']-> 1363905708459:movedComponent.lightBulb -> None	Organize	organizeWorkspace	lightBulb		
1363905709523.00	48.09	 'user'	 'lightBulb.0'	 'sprite'	 'movedComponent'	 'x = 2.0775193798449614'	 'y = 6.0310077519379846'	 'x2 = 2.3815752957551766'	 'y2 = 5.726951836027769\n']-> <<IGNORED!>>					
1363905709530.00	48.10	 'model'	 'junction.50'	 'junction'	 'junctionFormed'	 'component = wire.3.startJunction'	 'component = lightBulb.0.startJunction\n']-> 1363905709530:junctionFormed.junction -> None	Build	join	lightBulb				
1363905712867.00	51.44	 'user'	 'junction.49'	 'sprite'	 'movedJunction'	 'x = 1.7638183820647246'	 'y = 5.736913066519013'	 'component = lightBulb.0.endJunction\n']-> 1363905712867:movedJunction.junction -> None	Organize	organizeWorkspace	junction			
1363905714099.00	52.67	 'user'	 'wire.4'	 'sprite'	 'addedComponent'	 '\n']-> 1363905714099:addedComponent.wire -> None	Build	add	wire					
1363905716209.00	54.78	 'model'	 'junction.53'	 'junction'	 'junctionFormed'	 'component = lightBulb.0.endJunction'	 'component = wire.4.startJunction\n']-> 1363905716209:junctionFormed.junction -> None	Build	join	wire				
1363905722466.00	61.04	 'user'	 'junction.52'	 'sprite'	 'movedJunction'	 'x = 1.813953488372093'	 'y = 4.961240310077519'	 'component = wire.4.endJunction\n']-> 1363905722466:movedJunction.junction -> None	Organize	organizeWorkspace	junction			
1363905725395.00	63.96	 'user'	 'lightBulb.0'	 'sprite'	 'movedComponent'	 'x = 2.1550387596899228'	 'y = 6.883720930232558'	 'x2 = 1.841337761909686'	 'y2 = 6.589626244813586\n']-> 1363905725395:movedComponent.lightBulb -> None	Organize	organizeWorkspace	lightBulb		
1363905727787.00	66.36	 'user'	 'junction.52'	 'sprite'	 'movedJunction'	 'x = 1.8604651162790697'	 'y = 5.674418604651163'	 'component = wire.4.endJunction\n']-> 1363905727787:movedJunction.junction -> None	Organize	organizeWorkspace	junction			
1363905728706.00	67.28	 'user'	 'resistor.0'	 'sprite'	 'addedComponent'	 '\n']-> 1363905728706:addedComponent.resistor -> None	Build	add	resistor					
1363905731283.00	69.85	 'user'	 'junction.55'	 'sprite'	 'movedJunction'	 'x = 5.928829580097155'	 'y = 5.6192660407577435'	 'component = resistor.0.endJunction\n']-> 1363905731283:movedJunction.junction -> None	Organize	organizeWorkspace	junction			
1363905732128.00	70.70	 'user'	 'wire.5'	 'sprite'	 'addedComponent'	 '\n']-> 1363905732128:addedComponent.wire -> None	Build	add	wire					
1363905732787.00	71.36	 'model'	 'junction.58'	 'junction'	 'junctionFormed'	 'component = resistor.0.endJunction'	 'component = wire.5.startJunction\n']-> 1363905732787:junctionFormed.junction -> None	Build	join	wire				
1363905733723.00	72.29	 'user'	 'junction.57'	 'sprite'	 'movedJunction'	 'x = 10.527131782945736'	 'y = 6.093023255813954'	 'component = wire.5.endJunction\n']-> 1363905733723:movedJunction.junction -> None	Organize	organizeWorkspace	junction			
1363905733736.00	72.31	 'model'	 'junction.59'	 'junction'	 'junctionFormed'	 'component = wire.2.endJunction'	 'component = wire.5.endJunction\n']-> 1363905733736:junctionFormed.junction -> None	Build	join	wire				
1363905734928.00	73.50	 'user'	 'wire.6'	 'sprite'	 'addedComponent'	 '\n']-> 1363905734928:addedComponent.wire -> None	Build	add	wire					
1363905736445.00	75.01	 'model'	 'junction.62'	 'junction'	 'junctionFormed'	 'component = wire.4.endJunction'	 'component = wire.6.startJunction\n']-> 1363905736445:junctionFormed.junction -> None	Build	join	wire				
1363905736459.00	75.03	 'model'	 'junction.63'	 'junction'	 'junctionFormed'	 'component = resistor.0.startJunction'	 'component = wire.6.endJunction\n']-> 1363905736459:junctionFormed.junction -> light_intensity	Revise	join	wire				
1363905736986.00	75.56	 'model'	 'battery.0'	 'modelElement'	 'currentChanged'	 'current = 0.45\n']-> <<IGNORED!>>								
1363905745815.00	84.38	 'user'	 'voltmeterCheckBox'	 'checkBox'	 'pressed'	 'isSelected = true\n']-> 1363905745815:pressed.voltmeterCheckBox -> None	Interface	enableComponent	voltmeter					
1363905747210.00	85.78	 'user'	 'nonContactAmmeterCheckBox'	 'checkBox'	 'pressed'	 'isSelected = true\n']-> 1363905747210:pressed.nonContactAmmeterCheckBox -> None	Interface	enableComponent	nonContactAmmeter					
1363905748773.00	87.34	 'user'	 'nonContactAmmeter'	 'sprite'	 'startDrag'	 'x = 0.0'	 'y = 0.0\n']-> <<IGNORED!>>							
1363905749030.00	87.60	 'model'	 'nonContactAmmeterModel'	 'modelElement'	 'connectionFormed'	 'component = wire.5\n']-> <<IGNORED!>>								
1363905749049.00	87.62	 'model'	 'nonContactAmmeterModel'	 'modelElement'	 'connectionBroken'	 'component = none\n']-> <<IGNORED!>>								
1363905749426.00	88.00	 'user'	 'nonContactAmmeter'	 'sprite'	 'drag'	 'x = 7.24031007751938'	 'y = 5.65891472868217\n']-> <<IGNORED!>>							
1363905749540.00	88.11	 'model'	 'nonContactAmmeterModel'	 'modelElement'	 'measuredCurrentChanged'	 'current = undefined\n']-> <<IGNORED!>>								
1363905749931.00	88.50	 'model'	 'nonContactAmmeterModel'	 'modelElement'	 'connectionFormed'	 'component = wire.5\n']-> 1363905749931:connectionFormed.nonContactAmmeterModel -> deliberate_measure	Test	startMeasure	nonContactAmmeter					
1363905749952.00	88.52	 'user'	 'nonContactAmmeter'	 'sprite'	 'drag'	 'x = 7.395348837209303'	 'y = 4.97674418604651\n']-> <<IGNORED!>>							
1363905750432.00	89.00	 'model'	 'nonContactAmmeterModel'	 'modelElement'	 'measuredCurrentChanged'	 'current = 0.45 Amps\n']-> <<IGNORED!>>								
1363905750458.00	89.03	 'user'	 'nonContactAmmeter'	 'sprite'	 'drag'	 'x = 7.426356589147288'	 'y = 4.97674418604651\n']-> <<IGNORED!>>							
1363905750482.00	89.05	 'model'	 'nonContactAmmeterModel'	 'modelElement'	 'connectionBroken'	 'component = none\n']-> 1363905750482:connectionBroken.nonContactAmmeterModel -> None	Test	endMeasure	nonContactAmmeter					
1363905750929.00	89.50	 'model'	 'nonContactAmmeterModel'	 'modelElement'	 'connectionFormed'	 'component = wire.0\n']-> 1363905750929:connectionFormed.nonContactAmmeterModel -> deliberate_measure	Test	startMeasure	nonContactAmmeter					
1363905750962.00	89.53	 'user'	 'nonContactAmmeter'	 'sprite'	 'drag'	 'x = 6.961240310077519'	 'y = 6.713178294573643\n']-> <<IGNORED!>>							
1363905750984.00	89.55	 'model'	 'nonContactAmmeterModel'	 'modelElement'	 'measuredCurrentChanged'	 'current = 0.45 Amps\n']-> <<IGNORED!>>								
1363905751366.00	89.94	 'model'	 'nonContactAmmeterModel'	 'modelElement'	 'connectionBroken'	 'component = none\n']-> 1363905751366:connectionBroken.nonContactAmmeterModel -> reading_updated	Test	endMeasure	nonContactAmmeter					
1363905751464.00	90.03	 'user'	 'nonContactAmmeter'	 'sprite'	 'drag'	 'x = 5.333333333333333'	 'y = 5.2403100775193785\n']-> <<IGNORED!>>							
1363905751867.00	90.44	 'model'	 'nonContactAmmeterModel'	 'modelElement'	 'measuredCurrentChanged'	 'current = undefined\n']-> <<IGNORED!>>								
1363905751930.00	90.50	 'model'	 'nonContactAmmeterModel'	 'modelElement'	 'connectionFormed'	 'component = wire.6\n']-> 1363905751930:connectionFormed.nonContactAmmeterModel -> None	Test	startMeasure	nonContactAmmeter					
1363905751993.00	90.56	 'user'	 'nonContactAmmeter'	 'sprite'	 'drag'	 'x = 2.8992248062015484'	 'y = 4.604651162790695\n']-> <<IGNORED!>>							
1363905752365.00	90.93	 'model'	 'nonContactAmmeterModel'	 'modelElement'	 'connectionBroken'	 'component = none\n']-> 1363905752365:connectionBroken.nonContactAmmeterModel -> reading_updated	Test	endMeasure	nonContactAmmeter					
1363905752432.00	91.00	 'model'	 'nonContactAmmeterModel'	 'modelElement'	 'measuredCurrentChanged'	 'current = undefined\n']-> <<IGNORED!>>								
1363905752495.00	91.06	 'user'	 'nonContactAmmeter'	 'sprite'	 'drag'	 'x = 7.162790697674417'	 'y = 1.4418604651162763\n']-> <<IGNORED!>>							
1363905752611.00	91.18	 'user'	 'nonContactAmmeter'	 'sprite'	 'endDrag'	 'x = 7.178294573643409'	 'y = 1.426356589147284\n']-> <<IGNORED!>>							
1363905754192.00	92.76	 'model'	 'voltmeterRedLeadModel'	 'modelElement'	 'connectionFormed'	 'connections = branch: wire.5'	 'voltageAddon = -7.724518449726168E-5\n']-> 1363905754192:connectionFormed.voltmeterRedLeadModel -> None	Test	startMeasure	voltmeter				
1363905755693.00	94.26	 'user'	 'blackProbe'	 'sprite'	 'startDrag'	 'x = 9.123224806201554'	 'y = 5.511627906976744\n']-> <<IGNORED!>>							
1363905755737.00	94.31	 'model'	 'voltmeterBlackLeadModel'	 'modelElement'	 'connectionFormed'	 'connections = branch: wire.5'	 'voltageAddon = -1.4617504512035053E-4\n']-> 1363905755737:connectionFormed.voltmeterBlackLeadModel -> deliberate_measure	Test	startMeasure	voltmeter				
1363905756234.00	94.80	 'user'	 'blackProbe'	 'sprite'	 'drag'	 'x = 9.185240310077523'	 'y = 5.775193798449613\n']-> <<IGNORED!>>							
1363905756237.00	94.81	 'model'	 'voltmeterModel'	 'modelElement'	 'measuredVoltageChanged'	 'voltage = 0.00\n']-> <<IGNORED!>>								
1363905756299.00	94.87	 'user'	 'blackProbe'	 'sprite'	 'endDrag'	 'x = 9.185240310077523'	 'y = 5.759689922480621\n']-> <<IGNORED!>>							
1363905756895.00	95.46	 'user'	 'redProbe'	 'sprite'	 'startDrag'	 'x = 7.699224806201551'	 'y = 5.511627906976744\n']-> <<IGNORED!>>							
1363905757057.00	95.63	 'model'	 'voltmeterRedLeadModel'	 'modelElement'	 'connectionBroken'	 'connections = none\n']-> 1363905757057:connectionBroken.voltmeterRedLeadModel -> None	Test	endMeasure	voltmeter					
1363905757475.00	96.04	 'user'	 'redProbe'	 'sprite'	 'drag'	 'x = 7.327131782945736'	 'y = 7.248062015503878\n']-> <<IGNORED!>>							
1363905757630.00	96.20	 'model'	 'voltmeterRedLeadModel'	 'modelElement'	 'connectionFormed'	 'connections = branch: wire.0'	 'voltageAddon = 6.776140882037692E-5\n']-> 1363905757630:connectionFormed.voltmeterRedLeadModel -> deliberate_measure	Test	startMeasure	voltmeter				
1363905757993.00	96.56	 'user'	 'redProbe'	 'sprite'	 'drag'	 'x = 7.048062015503875'	 'y = 7.589147286821708\n']-> <<IGNORED!>>							
1363905758130.00	96.70	 'model'	 'voltmeterModel'	 'modelElement'	 'measuredVoltageChanged'	 'voltage = 0.00\n']-> <<IGNORED!>>								
1363905758178.00	96.75	 'model'	 'voltmeterRedLeadModel'	 'modelElement'	 'connectionBroken'	 'connections = none\n']-> 1363905758178:connectionBroken.voltmeterRedLeadModel -> None	Test	endMeasure	voltmeter					
1363905758248.00	96.82	 'model'	 'voltmeterRedLeadModel'	 'modelElement'	 'connectionFormed'	 'connections = junction: 63	 branches: resistor.0	 wire.6'	 'voltageAddon = 0.0\n']-> <<IGNORED!>>					
1363905758298.00	96.87	 'model'	 'voltmeterRedLeadModel'	 'modelElement'	 'connectionBroken'	 'connections = none\n']-> <<IGNORED!>>								
1363905758602.00	97.17	 'model'	 'voltmeterRedLeadModel'	 'modelElement'	 'connectionFormed'	 'connections = branch: wire.6'	 'voltageAddon = -1.1031466049784702E-4\n']-> 1363905758602:connectionFormed.voltmeterRedLeadModel -> deliberate_measure	Test	startMeasure	voltmeter				
1363905758656.00	97.23	 'user'	 'redProbe'	 'sprite'	 'drag'	 'x = 4.210852713178293'	 'y = 6.0542635658914765\n']-> <<IGNORED!>>							
1363905758744.00	97.31	 'model'	 'voltmeterModel'	 'modelElement'	 'measuredVoltageChanged'	 'voltage = 4.50\n']-> <<IGNORED!>>								
1363905759219.00	97.79	 'user'	 'redProbe'	 'sprite'	 'endDrag'	 'x = 4.1643410852713165'	 'y = 5.728682170542639\n']-> <<IGNORED!>>							
1363905760380.00	98.95	 'user'	 'blackProbe'	 'sprite'	 'startDrag'	 'x = 9.185240310077523'	 'y = 5.759689922480621\n']-> <<IGNORED!>>							
1363905760544.00	99.11	 'model'	 'voltmeterBlackLeadModel'	 'modelElement'	 'connectionBroken'	 'connections = none\n']-> 1363905760544:connectionBroken.voltmeterBlackLeadModel -> None	Test	endMeasure	voltmeter					
1363905761005.00	99.57	 'user'	 'blackProbe'	 'sprite'	 'drag'	 'x = 7.045705426356593'	 'y = 7.356589147286825\n']-> <<IGNORED!>>							
1363905761019.00	99.59	 'model'	 'voltmeterBlackLeadModel'	 'modelElement'	 'connectionFormed'	 'connections = branch: wire.0'	 'voltageAddon = 6.419433648123845E-5\n']-> 1363905761019:connectionFormed.voltmeterBlackLeadModel -> deliberate_measure	Test	startMeasure	voltmeter				
1363905761511.00	100.08	 'user'	 'blackProbe'	 'sprite'	 'drag'	 'x = 6.999193798449616'	 'y = 7.713178294573647\n']-> <<IGNORED!>>							
1363905761520.00	100.09	 'model'	 'voltmeterModel'	 'modelElement'	 'measuredVoltageChanged'	 'voltage = 4.50\n']-> <<IGNORED!>>								
1363905761754.00	100.32	 'user'	 'blackProbe'	 'sprite'	 'endDrag'	 'x = 6.9836899224806235'	 'y = 7.697674418604655\n']-> <<IGNORED!>>							
1363905762376.00	100.95	 'user'	 'redProbe'	 'sprite'	 'startDrag'	 'x = 4.1643410852713165'	 'y = 5.728682170542639\n']-> <<IGNORED!>>							
1363905762464.00	101.03	 'model'	 'voltmeterRedLeadModel'	 'modelElement'	 'connectionBroken'	 'connections = none\n']-> 1363905762464:connectionBroken.voltmeterRedLeadModel -> None	Test	endMeasure	voltmeter					
1363905762950.00	101.52	 'user'	 'redProbe'	 'sprite'	 'drag'	 'x = 2.505426356589144'	 'y = 6.906976744186051\n']-> <<IGNORED!>>							
1363905763141.00	101.71	 'model'	 'voltmeterRedLeadModel'	 'modelElement'	 'connectionFormed'	 'connections = branch: wire.3'	 'voltageAddon = 1.9652492459128673E-5\n']-> 1363905763141:connectionFormed.voltmeterRedLeadModel -> deliberate_measure	Test	startMeasure	voltmeter				
1363905763453.00	102.02	 'user'	 'redProbe'	 'sprite'	 'drag'	 'x = 2.288372093023252'	 'y = 7.3410852713178345\n']-> <<IGNORED!>>							
1363905763642.00	102.21	 'model'	 'voltmeterModel'	 'modelElement'	 'measuredVoltageChanged'	 'voltage = 9.00\n']-> <<IGNORED!>>								
1363905763973.00	102.54	 'user'	 'redProbe'	 'sprite'	 'drag'	 'x = 2.2418604651162752'	 'y = 7.294573643410858\n']-> <<IGNORED!>>							
1363905764489.00	103.06	 'user'	 'redProbe'	 'sprite'	 'drag'	 'x = 2.164341085271314'	 'y = 7.31007751937985\n']-> <<IGNORED!>>							
1363905765005.00	103.57	 'user'	 'redProbe'	 'sprite'	 'drag'	 'x = 2.7689922480620126'	 'y = 7.480620155038765\n']-> <<IGNORED!>>							
1363905765523.00	104.09	 'user'	 'redProbe'	 'sprite'	 'drag'	 'x = 2.893023255813951'	 'y = 7.837209302325587\n']-> <<IGNORED!>>							
1363905766039.00	104.61	 'user'	 'redProbe'	 'sprite'	 'drag'	 'x = 2.908527131782943'	 'y = 7.821705426356595\n']-> <<IGNORED!>>							
1363905766941.00	105.51	 'user'	 'redProbe'	 'sprite'	 'drag'	 'x = 2.9395348837209276'	 'y = 7.7906976744186105\n']-> <<IGNORED!>>							
1363905767156.00	105.73	 'model'	 'voltmeterRedLeadModel'	 'modelElement'	 'connectionBroken'	 'connections = none\n']-> 1363905767156:connectionBroken.voltmeterRedLeadModel -> None	Test	endMeasure	voltmeter					
1363905767156.00	105.73	 'system'	 'simsharingManager'	 'simsharingManager'	 'sentEvent'	 'messageCount = 100\n']-> <<IGNORED!>>								
1363905767257.00	105.83	 'model'	 'voltmeterRedLeadModel'	 'modelElement'	 'connectionFormed'	 'connections = branch: wire.6'	 'voltageAddon = -5.2266899883767035E-5\n']-> <<IGNORED!>>							
1363905767322.00	105.89	 'model'	 'voltmeterRedLeadModel'	 'modelElement'	 'connectionBroken'	 'connections = none\n']-> <<IGNORED!>>								
1363905767477.00	106.05	 'user'	 'redProbe'	 'sprite'	 'drag'	 'x = 3.358139534883719'	 'y = 4.643410852713181\n']-> <<IGNORED!>>							
1363905767758.00	106.33	 'model'	 'voltmeterModel'	 'modelElement'	 'measuredVoltageChanged'	 'voltage = 4.50\n']-> <<IGNORED!>>								
1363905767863.00	106.43	 'model'	 'voltmeterRedLeadModel'	 'modelElement'	 'connectionFormed'	 'connections = branch: wire.6'	 'voltageAddon = -6.788471681843966E-5\n']-> 1363905767863:connectionFormed.voltmeterRedLeadModel -> deliberate_measure	Test	startMeasure	voltmeter				
1363905768004.00	106.57	 'user'	 'redProbe'	 'sprite'	 'drag'	 'x = 3.466666666666665'	 'y = 5.697674418604655\n']-> <<IGNORED!>>							
1363905768363.00	106.93	 'model'	 'voltmeterModel'	 'modelElement'	 'measuredVoltageChanged'	 'voltage = 4.50\n']-> <<IGNORED!>>								
1363905769229.00	107.80	 'model'	 'voltmeterRedLeadModel'	 'modelElement'	 'connectionBroken'	 'connections = none\n']-> 1363905769229:connectionBroken.voltmeterRedLeadModel -> None	Test	endMeasure	voltmeter					
1363905769614.00	108.18	 'model'	 'voltmeterRedLeadModel'	 'modelElement'	 'connectionFormed'	 'connections = junction: 50	 branches: wire.3	 lightBulb.0'	 'voltageAddon = 0.0\n']-> 1363905769614:connectionFormed.voltmeterRedLeadModel -> deliberate_measure	Test	startMeasure	voltmeter		
1363905769700.00	108.27	 'user'	 'redProbe'	 'sprite'	 'drag'	 'x = 2.27286821705426'	 'y = 6.984496124031014\n']-> <<IGNORED!>>							
1363905770115.00	108.68	 'model'	 'voltmeterModel'	 'modelElement'	 'measuredVoltageChanged'	 'voltage = 9.00\n']-> <<IGNORED!>>								
1363905770283.00	108.85	 'user'	 'redProbe'	 'sprite'	 'drag'	 'x = 2.086821705426353'	 'y = 7.527131782945743\n']-> <<IGNORED!>>							
1363905770813.00	109.38	 'user'	 'redProbe'	 'sprite'	 'drag'	 'x = 3.187596899224804'	 'y = 7.604651162790704\n']-> <<IGNORED!>>							
1363905771261.00	109.83	 'user'	 'redProbe'	 'sprite'	 'endDrag'	 'x = 3.2186046511627886'	 'y = 7.666666666666673\n']-> <<IGNORED!>>							
1363905777875.00	116.44	 'user'	 'lightBulb.0'	 'sprite'	 'removedComponent'	 '\n']-> 1363905777875:removedComponent.lightBulb -> light_intensity	Revise	remove	lightBulb					
1363905778389.00	116.96	 'model'	 'battery.0'	 'modelElement'	 'currentChanged'	 'current = 0.00\n']-> <<IGNORED!>>								
1363905779242.00	117.81	 'model'	 'junction.64'	 'junction'	 'junctionFormed'	 'component = wire.3.startJunction'	 'component = wire.4.startJunction\n']-> 1363905779242:junctionFormed.junction -> light_intensity	Revise	join	wire				
1363905779769.00	118.34	 'model'	 'battery.0'	 'modelElement'	 'currentChanged'	 'current = 0.90\n']-> <<IGNORED!>>								
1363905780572.00	119.14	 'user'	 'junction.64'	 'sprite'	 'movedJunction'	 'x = 2.108527131782946'	 'y = 6.821705426356589'	 'component = wire.3.startJunction'	 'component = wire.4.startJunction\n']-> 1363905780572:movedJunction.junction -> None	Organize	organizeWorkspace	junction		
1363905781344.00	119.91	 'model'	 'junction.64'	 'junction'	 'junctionSplit'	 'component = wire.3.startJunction'	 'component = wire.4.startJunction\n']-> 1363905781344:junctionSplit.junction -> light_intensity	Revise	split	junction				
1363905781866.00	120.44	 'model'	 'battery.0'	 'modelElement'	 'currentChanged'	 'current = 0.00\n']-> <<IGNORED!>>								
1363905782697.00	121.27	 'user'	 'lightBulb.1'	 'sprite'	 'addedComponent'	 '\n']-> 1363905782697:addedComponent.lightBulb -> None	Build	add	lightBulb					
1363905784413.00	122.98	 'model'	 'junction.71'	 'junction'	 'junctionFormed'	 'component = wire.3.startJunction'	 'component = lightBulb.1.startJunction\n']-> 1363905784413:junctionFormed.junction -> None	Build	join	lightBulb				
1363905786683.00	125.25	 'user'	 'junction.62'	 'sprite'	 'movedJunction'	 'x = 2.13953488372093'	 'y = 5.488372093023256'	 'component = wire.4.endJunction'	 'component = wire.6.startJunction\n']-> 1363905786683:movedJunction.junction -> None	Organize	organizeWorkspace	junction		
1363905788388.00	126.96	 'user'	 'lightBulb.1'	 'sprite'	 'movedComponent'	 'x = 1.7531173472885389'	 'y = 6.888249700064916'	 'x2 = 2.057173263198754'	 'y2 = 6.584193784154701\n']-> <<IGNORED!>>					
1363905788403.00	126.97	 'model'	 'junction.72'	 'junction'	 'junctionFormed'	 'component = wire.4.startJunction'	 'component = lightBulb.1.endJunction\n']-> 1363905788403:junctionFormed.junction -> light_intensity	Revise	join	lightBulb				
1363905788916.00	127.49	 'model'	 'battery.0'	 'modelElement'	 'currentChanged'	 'current = 0.45\n']-> <<IGNORED!>>								
1363905791791.00	130.36	 'user'	 'redProbe'	 'sprite'	 'startDrag'	 'x = 3.2186046511627886'	 'y = 7.666666666666673\n']-> <<IGNORED!>>							
1363905791985.00	130.55	 'model'	 'voltmeterRedLeadModel'	 'modelElement'	 'connectionBroken'	 'connections = none\n']-> 1363905791985:connectionBroken.voltmeterRedLeadModel -> None	Test	endMeasure	voltmeter					
1363905792297.00	130.87	 'model'	 'voltmeterRedLeadModel'	 'modelElement'	 'connectionFormed'	 'connections = branch: wire.6'	 'voltageAddon = -6.219239705311963E-5\n']-> 1363905792297:connectionFormed.voltmeterRedLeadModel -> deliberate_measure	Test	startMeasure	voltmeter				
1363905792450.00	131.02	 'user'	 'redProbe'	 'sprite'	 'drag'	 'x = 3.5596899224806187'	 'y = 5.527131782945741\n']-> <<IGNORED!>>							
1363905792797.00	131.37	 'model'	 'voltmeterModel'	 'modelElement'	 'measuredVoltageChanged'	 'voltage = 4.50\n']-> <<IGNORED!>>								
1363905792952.00	131.52	 'user'	 'redProbe'	 'sprite'	 'drag'	 'x = 3.575193798449611'	 'y = 5.480620155038764\n']-> <<IGNORED!>>							
1363905793390.00	131.96	 'user'	 'redProbe'	 'sprite'	 'endDrag'	 'x = 3.575193798449611'	 'y = 5.496124031007756\n']-> <<IGNORED!>>							
pause <1363905793390	#VALUE!	1363905820633> =27243												
1363905828894 <<pause ENDED!>> time before next action = 8261	#VALUE!													
1363905828894.00	167.46	 'user'	 'lightBulb.1'	 'sprite'	 'removedComponent'	 '\n']-> 1363905828894:removedComponent.lightBulb -> reading_updated	Revise	remove	lightBulb					
1363905829417.00	167.99	 'model'	 'battery.0'	 'modelElement'	 'currentChanged'	 'current = 0.00\n']-> <<IGNORED!>>								
1363905829420.00	167.99	 'model'	 'voltmeterModel'	 'modelElement'	 'measuredVoltageChanged'	 'voltage = 0.00\n']-> <<IGNORED!>>								
1363905830755.00	169.32	 'model'	 'junction.73'	 'junction'	 'junctionFormed'	 'component = wire.3.startJunction'	 'component = wire.4.startJunction\n']-> 1363905830755:junctionFormed.junction -> reading_updated	Revise	join	lightBulb				
1363905831277.00	169.85	 'model'	 'battery.0'	 'modelElement'	 'currentChanged'	 'current = 0.90\n']-> <<IGNORED!>>								
1363905831310.00	169.88	 'model'	 'voltmeterModel'	 'modelElement'	 'measuredVoltageChanged'	 'voltage = 9.00\n']-> <<IGNORED!>>								
pause <1363905828894	#VALUE!	1363905844786> =15892												
1363905846349 <<pause ENDED!>> time before next action = 1563	#VALUE!	  												
1363905846349.00	184.92	 'user'	 'nonContactAmmeter'	 'sprite'	 'startDrag'	 'x = 7.178294573643409'	 'y = 1.426356589147284\n']-> <<IGNORED!>>							
1363905846831.00	185.40	 'model'	 'nonContactAmmeterModel'	 'modelElement'	 'connectionFormed'	 'component = wire.5\n']-> <<IGNORED!>>								
1363905846844.00	185.41	 'model'	 'nonContactAmmeterModel'	 'modelElement'	 'connectionBroken'	 'component = none\n']-> <<IGNORED!>>								
1363905846951.00	185.52	 'user'	 'nonContactAmmeter'	 'sprite'	 'drag'	 	 'y = 5.116279069767439\n']-> <<IGNORED!>>							
