Activity,student,Time Stamp,Family,Action,Component,Outcome,#circuits,#circuits_w_battery,#loops,#components,#battery,#circuitSwitch,#grabBagResistor,#lightBulb,#resistor,#seriesAmmeter,current_is_circuit,current_#loops,current_#components,current_#battery,current_#circuitSwitch,current_#grabBagResistor,current_#lightBulb,current_#resistor,current_#seriesAmmeter,non_default_resistor_values
a2,10009106,1363981329815,Construct,organizeWorkspace,junction,None,1,1,1,5,3,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0
a2,10009106,1363981331612,Construct,add,resistor,None,1,1,1,6,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981334753,Construct,join,resistor,None,1,1,1,6,3,0,0,0,3,0,0,0,2,1,0,0,0,1,0,0
a2,10009106,1363981336019,Construct,add,wire,None,1,1,1,6,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981337253,Construct,join,wire,None,1,1,1,6,3,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0
a2,10009106,1363981337284,Construct,join,wire,None,1,1,1,6,3,0,0,0,3,0,0,0,3,1,0,0,0,2,0,0
a2,10009106,1363981338878,Construct,organizeWorkspace,junction,None,1,1,1,6,3,0,0,0,3,0,0,0,3,1,0,0,0,2,0,0
a2,10009106,1363981338894,Construct,join,wire,current_change,2,2,2,6,3,0,0,0,3,0,1,1,3,1,0,0,0,2,0,0
a2,10009106,1363981343222,Construct,organizeWorkspace,wire,None,2,2,2,6,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981344394,Construct,add,resistor,None,2,2,2,7,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981346159,Construct,add,resistor,None,2,2,2,8,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981346972,Construct,join,resistor,None,2,2,2,8,3,0,0,0,5,0,0,0,2,0,0,0,0,2,0,0
a2,10009106,1363981347722,Construct,add,resistor,None,2,2,2,9,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981348878,Construct,join,resistor,None,2,2,2,9,3,0,0,0,6,0,0,0,2,1,0,0,0,1,0,0
a2,10009106,1363981350222,Construct,organizeWorkspace,resistor,None,2,2,2,9,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981351503,Construct,split,junction,None,2,2,2,9,3,0,0,0,6,0,0,0,1,0,0,0,0,1,0,0
a2,10009106,1363981352831,Construct,organizeWorkspace,resistor,None,2,2,2,9,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981353737,Construct,add,wire,None,2,2,2,9,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981355019,Construct,join,wire,None,2,2,2,9,3,0,0,0,6,0,0,0,1,0,0,0,0,1,0,0
a2,10009106,1363981356565,Construct,organizeWorkspace,junction,None,2,2,2,9,3,0,0,0,6,0,0,0,1,0,0,0,0,1,0,0
a2,10009106,1363981356597,Construct,join,wire,None,2,2,2,9,3,0,0,0,6,0,0,0,3,1,0,0,0,2,0,0
a2,10009106,1363981357753,Construct,add,wire,None,2,2,2,9,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981359019,Construct,joinX,wire,None,3,3,3,9,3,0,0,0,6,0,1,1,3,1,0,0,0,2,0,0
a2,10009106,1363981360253,Construct,split,junction,None,2,2,2,9,3,0,0,0,6,0,0,0,1,0,0,0,0,1,0,0
a2,10009106,1363981361409,Construct,join,wire,None,2,2,2,9,3,0,0,0,6,0,0,0,1,0,0,0,0,1,0,0
a2,10009106,1363981362472,Construct,remove,wire,None,2,2,2,9,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981363472,Construct,join,resistor,None,2,2,2,9,3,0,0,0,6,0,0,0,3,1,0,0,0,2,0,0
a2,10009106,1363981364800,Construct,add,wire,None,2,2,2,9,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981366425,Construct,join,wire,None,2,2,2,9,3,0,0,0,6,0,0,0,1,0,0,0,0,1,0,0
a2,10009106,1363981366472,Construct,join,wire,None,2,2,2,9,3,0,0,0,6,0,0,0,4,1,0,0,0,3,0,0
a2,10009106,1363981369503,Construct,organizeWorkspace,resistor,None,2,2,2,9,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981370909,Construct,organizeWorkspace,resistor,None,2,2,2,9,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981371815,Construct,organizeWorkspace,resistor,None,2,2,2,9,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981373409,Construct,remove,resistor,None,2,2,2,8,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981375159,Construct,join,wire,None,2,2,2,8,3,0,0,0,5,0,0,0,3,1,0,0,0,2,0,0
a2,10009106,1363981376894,Construct,organizeWorkspace,junction,None,2,2,2,8,3,0,0,0,5,0,0,0,3,1,0,0,0,2,0,0
a2,10009106,1363981377675,Construct,add,resistor,None,2,2,2,9,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981379237,Construct,join,resistor,None,2,2,2,9,3,0,0,0,6,0,0,0,4,1,0,0,0,3,0,0
a2,10009106,1363981380409,Construct,organizeWorkspace,junction,None,2,2,2,9,3,0,0,0,6,0,0,0,4,1,0,0,0,3,0,0
a2,10009106,1363981380440,Construct,join,resistor,current_change,3,3,3,9,3,0,0,0,6,0,1,1,4,1,0,0,0,3,0,0
a2,10009106,1363981384159,Construct,organizeWorkspace,wire,None,3,3,3,9,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981386722,Construct,organizeWorkspace,junction,None,3,3,3,9,3,0,0,0,6,0,1,1,4,1,0,0,0,3,0,0
a2,10009106,1363981388269,Construct,organizeWorkspace,junction,None,3,3,3,9,3,0,0,0,6,0,1,1,4,1,0,0,0,3,0,0
a2,10009106,1363981390690,Construct,organizeWorkspace,junction,None,3,3,3,9,3,0,0,0,6,0,1,1,4,1,0,0,0,3,0,0
a2,10009106,1363981397737,Construct,add,battery,None,3,3,3,10,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981403472,Construct,add,battery,None,3,3,3,11,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981405237,Construct,add,battery,None,3,3,3,12,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981411722,Construct,add,resistor,None,3,3,3,13,6,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981415300,Construct,organizeWorkspace,resistor,None,3,3,3,13,6,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981416425,Construct,add,resistor,None,3,3,3,14,6,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981418394,Construct,add,wire,None,3,3,3,14,6,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981419534,Construct,join,wire,None,3,3,3,14,6,0,0,0,8,0,0,0,1,0,0,0,0,1,0,0
a2,10009106,1363981420753,Construct,organizeWorkspace,junction,None,3,3,3,14,6,0,0,0,8,0,0,0,1,0,0,0,0,1,0,0
a2,10009106,1363981420800,Construct,join,wire,None,3,3,3,14,6,0,0,0,8,0,0,0,2,0,0,0,0,2,0,0
a2,10009106,1363981421784,Construct,add,wire,None,3,3,3,14,6,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981424300,Construct,join,wire,None,3,3,3,14,6,0,0,0,8,0,0,0,2,0,0,0,0,2,0,0
a2,10009106,1363981425519,Construct,organizeWorkspace,junction,None,3,3,3,14,6,0,0,0,8,0,0,0,2,0,0,0,0,2,0,0
a2,10009106,1363981425550,Construct,join,wire,None,4,3,4,14,6,0,0,0,8,0,0,1,2,0,0,0,0,2,0,0
a2,10009106,1363981426831,Construct,add,wire,None,4,3,4,14,6,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981427862,Construct,joinX,wire,None,4,3,5,14,6,0,0,0,8,0,0,2,2,0,0,0,0,2,0,0
a2,10009106,1363981428815,Construct,organizeWorkspace,junction,None,4,3,5,14,6,0,0,0,8,0,0,2,2,0,0,0,0,2,0,0
a2,10009106,1363981428862,Construct,join,wire,None,4,4,5,14,6,0,0,0,8,0,1,2,3,1,0,0,0,2,0,0
a2,10009106,1363981430081,Construct,add,wire,None,4,4,5,14,6,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981432081,Construct,join,wire,None,4,4,5,14,6,0,0,0,8,0,1,2,3,1,0,0,0,2,0,0
a2,10009106,1363981433159,Construct,organizeWorkspace,junction,None,4,4,5,14,6,0,0,0,8,0,1,2,3,1,0,0,0,2,0,0
a2,10009106,1363981433206,Construct,joinX,wire,current_change,4,4,7,14,6,0,0,0,8,0,1,4,3,1,0,0,0,2,0,0
a2,10009106,1363981436753,Construct,add,resistor,None,4,4,7,15,6,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981442519,Construct,add,resistor,None,4,4,7,16,6,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981448284,Construct,add,resistor,None,4,4,7,17,6,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981458690,Construct,organizeWorkspace,resistor,None,4,4,7,17,6,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981460159,Construct,add,wire,None,4,4,7,17,6,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981461097,Construct,join,wire,None,4,4,7,17,6,0,0,0,11,0,0,0,1,0,0,0,0,1,0,0
a2,10009106,1363981462112,Construct,organizeWorkspace,junction,None,4,4,7,17,6,0,0,0,11,0,0,0,1,0,0,0,0,1,0,0
a2,10009106,1363981462159,Construct,join,wire,None,4,4,7,17,6,0,0,0,11,0,0,0,2,0,0,0,0,2,0,0
a2,10009106,1363981463034,Construct,add,wire,None,4,4,7,17,6,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981464081,Construct,joinX,wire,None,5,4,8,17,6,0,0,0,11,0,0,1,2,0,0,0,0,2,0,0
a2,10009106,1363981465159,Construct,organizeWorkspace,junction,None,5,4,8,17,6,0,0,0,11,0,0,1,2,0,0,0,0,2,0,0
a2,10009106,1363981465206,Construct,join,wire,None,5,4,8,17,6,0,0,0,11,0,0,1,3,0,0,0,0,3,0,0
a2,10009106,1363981465894,Construct,add,wire,None,5,4,8,17,6,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981467237,Construct,joinX,wire,None,5,4,9,17,6,0,0,0,11,0,0,2,3,0,0,0,0,3,0,0
a2,10009106,1363981468128,Construct,organizeWorkspace,junction,None,5,4,9,17,6,0,0,0,11,0,0,2,3,0,0,0,0,3,0,0
a2,10009106,1363981468175,Construct,join,wire,None,5,5,9,17,6,0,0,0,11,0,1,2,4,1,0,0,0,3,0,0
a2,10009106,1363981469003,Construct,add,wire,None,5,5,9,17,6,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981471784,Construct,join,wire,None,5,5,9,17,6,0,0,0,11,0,1,2,4,1,0,0,0,3,0,0
a2,10009106,1363981472690,Construct,organizeWorkspace,junction,None,5,5,9,17,6,0,0,0,11,0,1,2,4,1,0,0,0,3,0,0
a2,10009106,1363981472737,Construct,join,wire,None,5,5,10,17,6,0,0,0,11,0,1,3,4,1,0,0,0,3,0,0
a2,10009106,1363981473503,Construct,add,wire,None,5,5,10,17,6,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981476800,Construct,joinX,wire,None,5,5,11,17,6,0,0,0,11,0,1,4,4,1,0,0,0,3,0,0
a2,10009106,1363981478565,Construct,organizeWorkspace,wire,None,5,5,11,17,6,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981479612,Construct,organizeWorkspace,junction,None,5,5,11,17,6,0,0,0,11,0,1,4,4,1,0,0,0,3,0,0
a2,10009106,1363981479659,Construct,join,wire,None,5,5,12,17,6,0,0,0,11,0,1,5,4,1,0,0,0,3,0,0
a2,10009106,1363981481347,Construct,add,wire,None,5,5,12,17,6,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981483612,Construct,join,wire,None,5,5,12,17,6,0,0,0,11,0,1,5,4,1,0,0,0,3,0,0
a2,10009106,1363981485519,Construct,organizeWorkspace,wire,None,5,5,12,17,6,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981486815,Construct,organizeWorkspace,junction,None,5,5,12,17,6,0,0,0,11,0,1,5,4,1,0,0,0,3,0,0
a2,10009106,1363981486862,Construct,joinX,wire,current_change,5,5,14,17,6,0,0,0,11,0,1,7,4,1,0,0,0,3,0,0
a2,10009106,1363981488144,Construct,add,resistor,None,5,5,14,18,6,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981489706,Construct,add,resistor,None,5,5,14,19,6,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981491612,Construct,add,resistor,None,5,5,14,20,6,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981495675,Construct,add,wire,None,5,5,14,20,6,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981496472,Construct,join,wire,None,5,5,14,20,6,0,0,0,14,0,0,0,1,0,0,0,0,1,0,0
a2,10009106,1363981497487,Construct,organizeWorkspace,junction,None,5,5,14,20,6,0,0,0,14,0,0,0,1,0,0,0,0,1,0,0
a2,10009106,1363981497550,Construct,join,wire,None,5,5,14,20,6,0,0,0,14,0,0,0,2,0,0,0,0,2,0,0
a2,10009106,1363981498019,Construct,add,wire,None,5,5,14,20,6,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981500706,Construct,join,wire,None,5,5,14,20,6,0,0,0,14,0,0,0,1,0,0,0,0,1,0,0
a2,10009106,1363981500800,Construct,join,wire,None,5,5,14,20,6,0,0,0,14,0,0,0,3,0,0,0,0,3,0,0
a2,10009106,1363981501269,Construct,add,wire,None,5,5,14,20,6,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981502612,Construct,join,wire,None,5,5,14,20,6,0,0,0,14,0,0,0,3,0,0,0,0,3,0,0
a2,10009106,1363981503675,Construct,organizeWorkspace,junction,None,5,5,14,20,6,0,0,0,14,0,0,0,3,0,0,0,0,3,0,0
a2,10009106,1363981503753,Construct,join,wire,None,6,5,15,20,6,0,0,0,14,0,0,1,3,0,0,0,0,3,0,0
a2,10009106,1363981506550,Construct,add,wire,None,6,5,15,20,6,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981514675,Construct,joinX,wire,None,6,5,16,20,6,0,0,0,14,0,0,2,3,0,0,0,0,3,0,0
a2,10009106,1363981516269,Construct,organizeWorkspace,junction,None,6,5,16,20,6,0,0,0,14,0,0,2,3,0,0,0,0,3,0,0
a2,10009106,1363981516331,Construct,join,wire,None,6,6,16,20,6,0,0,0,14,0,1,2,4,1,0,0,0,3,0,0
a2,10009106,1363981517081,Construct,add,wire,None,6,6,16,20,6,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981518612,Construct,join,wire,None,6,6,16,20,6,0,0,0,14,0,1,2,4,1,0,0,0,3,0,0
a2,10009106,1363981519644,Construct,organizeWorkspace,junction,None,6,6,16,20,6,0,0,0,14,0,1,2,4,1,0,0,0,3,0,0
a2,10009106,1363981519706,Construct,joinX,wire,current_change,6,6,18,20,6,0,0,0,14,0,1,4,4,1,0,0,0,3,0,0
a2,10009106,1363981527050,Test_basic_not_voltmeter,startMeasure,voltmeter,deliberate_measure,6,6,18,20,6,0,0,0,14,0,1,1,2,1,0,0,0,1,0,0
a2,10009106,1363981533019,Test_basic_not_nonContactAmmeter,startMeasure,nonContactAmmeter,deliberate_measure,6,6,18,20,6,0,0,0,14,0,1,1,2,1,0,0,0,1,0,0
a2,10009106,1363981545425,Interface,view,zoom,None,6,6,18,20,6,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981545426,pause,pause,pause,pause,6,6,18,20,6,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981619956,Test_basic_not_nonContactAmmeter,startMeasure,nonContactAmmeter,deliberate_measure,6,6,18,20,6,0,0,0,14,0,1,1,2,1,0,0,0,1,0,0
a2,10009106,1363981624331,Test_basic_not_nonContactAmmeter,startMeasure,nonContactAmmeter,deliberate_measure,6,6,18,20,6,0,0,0,14,0,1,1,2,1,0,0,0,1,0,0
a2,10009106,1363981624332,pause,pause,pause,pause,6,6,18,20,6,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981645862,Interface,view,showValues,None,6,6,18,20,6,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981652925,Interface,view,zoom,None,6,6,18,20,6,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981665003,Test_basic_not_voltmeter,startMeasure,voltmeter,deliberate_measure,6,6,18,20,6,0,0,0,14,0,1,1,2,1,0,0,0,1,0,0
a2,10009106,1363981679300,Construct,changeResistance,resistor,reading_updated,6,6,18,20,6,0,0,0,14,0,1,1,2,1,0,0,0,1,0,1
a2,10009106,1363981679862,Construct,changeResistance,resistor,reading_updated,6,6,18,20,6,0,0,0,14,0,1,1,2,1,0,0,0,1,0,1
a2,10009106,1363981681144,Construct,changeResistance,resistor,reading_updated,6,6,18,20,6,0,0,0,14,0,1,1,2,1,0,0,0,1,0,1
a2,10009106,1363981681706,Construct,changeResistance,resistor,reading_updated,6,6,18,20,6,0,0,0,14,0,1,1,2,1,0,0,0,1,0,1
a2,10009106,1363981682269,Construct,changeResistance,resistor,reading_updated,6,6,18,20,6,0,0,0,14,0,1,1,2,1,0,0,0,1,0,1
a2,10009106,1363981682800,Construct,changeResistance,resistor,reading_updated,6,6,18,20,6,0,0,0,14,0,1,1,2,1,0,0,0,1,0,1
a2,10009106,1363981683769,Construct,changeResistance,resistor,reading_updated,6,6,18,20,6,0,0,0,14,0,1,1,2,1,0,0,0,1,0,1
a2,10009106,1363981690519,Test_basic_default_voltmeter,startMeasure,voltmeter,deliberate_measure,6,6,18,20,6,0,0,0,14,0,1,1,2,1,0,0,0,1,0,1
a2,10009106,1363981699362,Test_basic_default_nonContactAmmeter,startMeasure,nonContactAmmeter,deliberate_measure,6,6,18,20,6,0,0,0,14,0,1,1,2,1,0,0,0,1,0,1
a2,10009106,1363981705237,Test_basic_default_nonContactAmmeter,startMeasure,nonContactAmmeter,deliberate_measure,6,6,18,20,6,0,0,0,14,0,1,1,2,1,0,0,0,1,0,1
a2,10009106,1363981712644,Construct,changeResistance,resistor,current_change,6,6,18,20,6,0,0,0,14,0,1,1,2,1,0,0,0,1,0,1
a2,10009106,1363981713925,Construct,changeResistance,resistor,current_change,6,6,18,20,6,0,0,0,14,0,1,1,2,1,0,0,0,1,0,1
a2,10009106,1363981715550,Construct,changeResistance,resistor,None,6,6,18,20,6,0,0,0,14,0,1,1,2,1,0,0,0,1,0,1
a2,10009106,1363981716112,Construct,changeResistance,resistor,None,6,6,18,20,6,0,0,0,14,0,1,1,2,1,0,0,0,1,0,1
a2,10009106,1363981717690,Construct,changeResistance,resistor,current_change,6,6,18,20,6,0,0,0,14,0,1,1,2,1,0,0,0,1,0,1
a2,10009106,1363981718769,Construct,changeResistance,resistor,None,6,6,18,20,6,0,0,0,14,0,1,1,2,1,0,0,0,1,0,1
a2,10009106,1363981722331,Test_basic_default_nonContactAmmeter,startMeasure,nonContactAmmeter,deliberate_measure,6,6,18,20,6,0,0,0,14,0,1,1,2,1,0,0,0,1,0,1
a2,10009106,1363981725112,Interface,view,zoom,None,6,6,18,20,6,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981725113,pause,pause,pause,pause,6,6,18,20,6,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981806534,Interface,view,zoom,None,6,6,18,20,6,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981810581,Test_simple_not_voltmeter,startMeasure,voltmeter,deliberate_measure,6,6,18,20,6,0,0,0,14,0,1,1,3,1,0,0,0,2,0,0
a2,10009106,1363981812112,Test_simple_not_voltmeter,startMeasure,voltmeter,deliberate_measure,6,6,18,20,6,0,0,0,14,0,1,1,3,1,0,0,0,2,0,0
