Activity,Student#,Time Stamp,Family,Action,Component,Outcome,#circuits,#circuits_w_battery,#loops,#components,#battery,#circuitSwitch,#grabBagResistor,#lightBulb,#resistor,#seriesAmmeter,current_is_circuit,current_#loops,current_#components,current_#battery,current_#circuitSwitch,current_#grabBagResistor,current_#lightBulb,current_#resistor,current_#seriesAmmeter
a2,10009106,1363981357753,Build,add,wire,None,2,2,2,9,3,0,0,0,6,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981359019,Build,joinX,wire,None,3,3,3,9,3,0,0,0,6,0,N,1,1,3,1,0,0,0,2,0
a2,10009106,1363981360253,Revise,split,junction,None,2,2,2,9,3,0,0,0,6,0,N,0,0,1,0,0,0,0,1,0
a2,10009106,1363981361409,Build,join,wire,None,2,2,2,9,3,0,0,0,6,0,N,0,0,1,0,0,0,0,1,0
a2,10009106,1363981362472,Revise,remove,wire,None,2,2,2,9,3,0,0,0,6,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981363472,Build,join,resistor,None,2,2,2,9,3,0,0,0,6,0,N,0,0,3,1,0,0,0,2,0
a2,10009106,1363981364800,Build,add,wire,None,2,2,2,9,3,0,0,0,6,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981366425,Build,join,wire,None,2,2,2,9,3,0,0,0,6,0,N,0,0,1,0,0,0,0,1,0
a2,10009106,1363981366472,Build,join,wire,None,2,2,2,9,3,0,0,0,6,0,N,0,0,4,1,0,0,0,3,0
a2,10009106,1363981369503,Organize,organizeWorkspace,resistor,None,2,2,2,9,3,0,0,0,6,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981370909,Organize,organizeWorkspace,resistor,None,2,2,2,9,3,0,0,0,6,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981371815,Organize,organizeWorkspace,resistor,None,2,2,2,9,3,0,0,0,6,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981373409,Revise,remove,resistor,None,2,2,2,8,3,0,0,0,5,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981375159,Build,join,wire,None,2,2,2,8,3,0,0,0,5,0,N,0,0,3,1,0,0,0,2,0
a2,10009106,1363981376894,Organize,organizeWorkspace,junction,None,2,2,2,8,3,0,0,0,5,0,N,0,0,3,1,0,0,0,2,0
a2,10009106,1363981377675,Build,add,resistor,None,2,2,2,9,3,0,0,0,6,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981379237,Build,join,resistor,None,2,2,2,9,3,0,0,0,6,0,N,0,0,4,1,0,0,0,3,0
a2,10009106,1363981380409,Organize,organizeWorkspace,junction,None,2,2,2,9,3,0,0,0,6,0,N,0,0,4,1,0,0,0,3,0
a2,10009106,1363981380440,Revise,join,resistor,current_change,3,3,3,9,3,0,0,0,6,0,N,1,1,4,1,0,0,0,3,0
a2,10009106,1363981384159,Organize,organizeWorkspace,wire,None,3,3,3,9,3,0,0,0,6,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981386722,Organize,organizeWorkspace,junction,None,3,3,3,9,3,0,0,0,6,0,N,1,1,4,1,0,0,0,3,0
a2,10009106,1363981388269,Organize,organizeWorkspace,junction,None,3,3,3,9,3,0,0,0,6,0,N,1,1,4,1,0,0,0,3,0
a2,10009106,1363981390690,Organize,organizeWorkspace,junction,None,3,3,3,9,3,0,0,0,6,0,N,1,1,4,1,0,0,0,3,0
a2,10009106,1363981397737,Build,add,battery,None,3,3,3,10,4,0,0,0,6,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981403472,Build,add,battery,None,3,3,3,11,5,0,0,0,6,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981405237,Build,add,battery,None,3,3,3,12,6,0,0,0,6,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981411722,Build,add,resistor,None,3,3,3,13,6,0,0,0,7,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981415300,Organize,organizeWorkspace,resistor,None,3,3,3,13,6,0,0,0,7,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981416425,Build,add,resistor,None,3,3,3,14,6,0,0,0,8,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981418394,Build,add,wire,None,3,3,3,14,6,0,0,0,8,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981419534,Build,join,wire,None,3,3,3,14,6,0,0,0,8,0,N,0,0,1,0,0,0,0,1,0
a2,10009106,1363981420753,Organize,organizeWorkspace,junction,None,3,3,3,14,6,0,0,0,8,0,N,0,0,1,0,0,0,0,1,0
a2,10009106,1363981420800,Build,join,wire,None,3,3,3,14,6,0,0,0,8,0,N,0,0,2,0,0,0,0,2,0
a2,10009106,1363981421784,Build,add,wire,None,3,3,3,14,6,0,0,0,8,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981424300,Build,join,wire,None,3,3,3,14,6,0,0,0,8,0,N,0,0,2,0,0,0,0,2,0
a2,10009106,1363981425519,Organize,organizeWorkspace,junction,None,3,3,3,14,6,0,0,0,8,0,N,0,0,2,0,0,0,0,2,0
a2,10009106,1363981425550,Build,join,wire,None,4,3,4,14,6,0,0,0,8,0,N,0,1,2,0,0,0,0,2,0
a2,10009106,1363981426831,Build,add,wire,None,4,3,4,14,6,0,0,0,8,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981427862,Build,joinX,wire,None,4,3,5,14,6,0,0,0,8,0,N,0,2,2,0,0,0,0,2,0
a2,10009106,1363981428815,Organize,organizeWorkspace,junction,None,4,3,5,14,6,0,0,0,8,0,N,0,2,2,0,0,0,0,2,0
a2,10009106,1363981428862,Build,join,wire,None,4,4,5,14,6,0,0,0,8,0,N,1,2,3,1,0,0,0,2,0
a2,10009106,1363981430081,Build,add,wire,None,4,4,5,14,6,0,0,0,8,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981432081,Build,join,wire,None,4,4,5,14,6,0,0,0,8,0,N,1,2,3,1,0,0,0,2,0
a2,10009106,1363981433159,Organize,organizeWorkspace,junction,None,4,4,5,14,6,0,0,0,8,0,N,1,2,3,1,0,0,0,2,0
a2,10009106,1363981433206,Revise,joinX,wire,current_change,4,4,7,14,6,0,0,0,8,0,N,1,4,3,1,0,0,0,2,0
a2,10009106,1363981436753,Build,add,resistor,None,4,4,7,15,6,0,0,0,9,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981442519,Build,add,resistor,None,4,4,7,16,6,0,0,0,10,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981448284,Build,add,resistor,None,4,4,7,17,6,0,0,0,11,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981458690,Organize,organizeWorkspace,resistor,None,4,4,7,17,6,0,0,0,11,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981460159,Build,add,wire,None,4,4,7,17,6,0,0,0,11,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981461097,Build,join,wire,None,4,4,7,17,6,0,0,0,11,0,N,0,0,1,0,0,0,0,1,0
a2,10009106,1363981462112,Organize,organizeWorkspace,junction,None,4,4,7,17,6,0,0,0,11,0,N,0,0,1,0,0,0,0,1,0
a2,10009106,1363981462159,Build,join,wire,None,4,4,7,17,6,0,0,0,11,0,N,0,0,2,0,0,0,0,2,0
a2,10009106,1363981463034,Build,add,wire,None,4,4,7,17,6,0,0,0,11,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981464081,Build,joinX,wire,None,5,4,8,17,6,0,0,0,11,0,N,0,1,2,0,0,0,0,2,0
a2,10009106,1363981465159,Organize,organizeWorkspace,junction,None,5,4,8,17,6,0,0,0,11,0,N,0,1,2,0,0,0,0,2,0
a2,10009106,1363981465206,Build,join,wire,None,5,4,8,17,6,0,0,0,11,0,N,0,1,3,0,0,0,0,3,0
a2,10009106,1363981465894,Build,add,wire,None,5,4,8,17,6,0,0,0,11,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981467237,Build,joinX,wire,None,5,4,9,17,6,0,0,0,11,0,N,0,2,3,0,0,0,0,3,0
a2,10009106,1363981468128,Organize,organizeWorkspace,junction,None,5,4,9,17,6,0,0,0,11,0,N,0,2,3,0,0,0,0,3,0
a2,10009106,1363981468175,Build,join,wire,None,5,5,9,17,6,0,0,0,11,0,N,1,2,4,1,0,0,0,3,0
a2,10009106,1363981469003,Build,add,wire,None,5,5,9,17,6,0,0,0,11,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981471784,Build,join,wire,None,5,5,9,17,6,0,0,0,11,0,N,1,2,4,1,0,0,0,3,0
a2,10009106,1363981472690,Organize,organizeWorkspace,junction,None,5,5,9,17,6,0,0,0,11,0,N,1,2,4,1,0,0,0,3,0
a2,10009106,1363981472737,Build,join,wire,None,5,5,10,17,6,0,0,0,11,0,N,1,3,4,1,0,0,0,3,0
a2,10009106,1363981473503,Build,add,wire,None,5,5,10,17,6,0,0,0,11,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981476800,Build,joinX,wire,None,5,5,11,17,6,0,0,0,11,0,N,1,4,4,1,0,0,0,3,0
a2,10009106,1363981478565,Organize,organizeWorkspace,wire,None,5,5,11,17,6,0,0,0,11,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981479612,Organize,organizeWorkspace,junction,None,5,5,11,17,6,0,0,0,11,0,N,1,4,4,1,0,0,0,3,0
a2,10009106,1363981479659,Build,join,wire,None,5,5,12,17,6,0,0,0,11,0,N,1,5,4,1,0,0,0,3,0
a2,10009106,1363981481347,Build,add,wire,None,5,5,12,17,6,0,0,0,11,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981483612,Build,join,wire,None,5,5,12,17,6,0,0,0,11,0,N,1,5,4,1,0,0,0,3,0
a2,10009106,1363981485519,Organize,organizeWorkspace,wire,None,5,5,12,17,6,0,0,0,11,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981486815,Organize,organizeWorkspace,junction,None,5,5,12,17,6,0,0,0,11,0,N,1,5,4,1,0,0,0,3,0
a2,10009106,1363981486862,Revise,joinX,wire,current_change,5,5,14,17,6,0,0,0,11,0,N,1,7,4,1,0,0,0,3,0
a2,10009106,1363981488144,Build,add,resistor,None,5,5,14,18,6,0,0,0,12,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981489706,Build,add,resistor,None,5,5,14,19,6,0,0,0,13,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981491612,Build,add,resistor,None,5,5,14,20,6,0,0,0,14,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981495675,Build,add,wire,None,5,5,14,20,6,0,0,0,14,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981496472,Build,join,wire,None,5,5,14,20,6,0,0,0,14,0,N,0,0,1,0,0,0,0,1,0
a2,10009106,1363981497487,Organize,organizeWorkspace,junction,None,5,5,14,20,6,0,0,0,14,0,N,0,0,1,0,0,0,0,1,0
a2,10009106,1363981497550,Build,join,wire,None,5,5,14,20,6,0,0,0,14,0,N,0,0,2,0,0,0,0,2,0
a2,10009106,1363981498019,Build,add,wire,None,5,5,14,20,6,0,0,0,14,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981500706,Build,join,wire,None,5,5,14,20,6,0,0,0,14,0,N,0,0,1,0,0,0,0,1,0
a2,10009106,1363981500800,Build,join,wire,None,5,5,14,20,6,0,0,0,14,0,N,0,0,3,0,0,0,0,3,0
a2,10009106,1363981501269,Build,add,wire,None,5,5,14,20,6,0,0,0,14,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981502612,Build,join,wire,None,5,5,14,20,6,0,0,0,14,0,N,0,0,3,0,0,0,0,3,0
a2,10009106,1363981503675,Organize,organizeWorkspace,junction,None,5,5,14,20,6,0,0,0,14,0,N,0,0,3,0,0,0,0,3,0
a2,10009106,1363981503753,Build,join,wire,None,6,5,15,20,6,0,0,0,14,0,N,0,1,3,0,0,0,0,3,0
a2,10009106,1363981506550,Build,add,wire,None,6,5,15,20,6,0,0,0,14,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981514675,Build,joinX,wire,None,6,5,16,20,6,0,0,0,14,0,N,0,2,3,0,0,0,0,3,0
a2,10009106,1363981516269,Organize,organizeWorkspace,junction,None,6,5,16,20,6,0,0,0,14,0,N,0,2,3,0,0,0,0,3,0
a2,10009106,1363981516331,Build,join,wire,None,6,6,16,20,6,0,0,0,14,0,N,1,2,4,1,0,0,0,3,0
a2,10009106,1363981517081,Build,add,wire,None,6,6,16,20,6,0,0,0,14,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981518612,Build,join,wire,None,6,6,16,20,6,0,0,0,14,0,N,1,2,4,1,0,0,0,3,0
a2,10009106,1363981519644,Organize,organizeWorkspace,junction,None,6,6,16,20,6,0,0,0,14,0,N,1,2,4,1,0,0,0,3,0
a2,10009106,1363981519706,Revise,joinX,wire,current_change,6,6,18,20,6,0,0,0,14,0,N,1,4,4,1,0,0,0,3,0
a2,10009106,1363981525659,Test,startMeasure,voltmeter,None,6,6,18,20,6,0,0,0,14,0,N,1,1,2,1,0,0,0,1,0
a2,10009106,1363981527050,Test,startMeasure,voltmeter,deliberate_measure,6,6,18,20,6,0,0,0,14,0,N,1,1,2,1,0,0,0,1,0
a2,10009106,1363981533019,Test,startMeasure,nonContactAmmeter,deliberate_measure,6,6,18,20,6,0,0,0,14,0,N,1,1,2,1,0,0,0,1,0
a2,10009106,1363981545425,Interface,view,zoom,None,6,6,18,20,6,0,0,0,14,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981545426,pause,pause,pause,pause,6,6,18,20,6,0,0,0,14,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981618394,Test,endMeasure,nonContactAmmeter,reading_updated,6,6,18,20,6,0,0,0,14,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981619956,Test,startMeasure,nonContactAmmeter,deliberate_measure,6,6,18,20,6,0,0,0,14,0,N,1,1,2,1,0,0,0,1,0
a2,10009106,1363981623862,Test,endMeasure,nonContactAmmeter,None,6,6,18,20,6,0,0,0,14,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981624331,Test,startMeasure,nonContactAmmeter,deliberate_measure,6,6,18,20,6,0,0,0,14,0,N,1,1,2,1,0,0,0,1,0
a2,10009106,1363981624332,pause,pause,pause,pause,6,6,18,20,6,0,0,0,14,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981645862,Interface,view,showValues,None,6,6,18,20,6,0,0,0,14,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981652925,Interface,view,zoom,None,6,6,18,20,6,0,0,0,14,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981663472,Test,endMeasure,voltmeter,None,6,6,18,20,6,0,0,0,14,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981665003,Test,startMeasure,voltmeter,deliberate_measure,6,6,18,20,6,0,0,0,14,0,N,1,1,2,1,0,0,0,1,0
a2,10009106,1363981665612,Test,endMeasure,voltmeter,None,6,6,18,20,6,0,0,0,14,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981666987,Test,endMeasure,voltmeter,None,6,6,18,20,6,0,0,0,14,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981679300,Revise,changeResistance,resistor,reading_updated,6,6,18,20,6,0,0,0,14,0,N,1,1,2,1,0,0,0,1,0
a2,10009106,1363981679862,Revise,changeResistance,resistor,reading_updated,6,6,18,20,6,0,0,0,14,0,N,1,1,2,1,0,0,0,1,0
a2,10009106,1363981681144,Revise,changeResistance,resistor,reading_updated,6,6,18,20,6,0,0,0,14,0,N,1,1,2,1,0,0,0,1,0
a2,10009106,1363981681706,Revise,changeResistance,resistor,reading_updated,6,6,18,20,6,0,0,0,14,0,N,1,1,2,1,0,0,0,1,0
a2,10009106,1363981682269,Revise,changeResistance,resistor,reading_updated,6,6,18,20,6,0,0,0,14,0,N,1,1,2,1,0,0,0,1,0
a2,10009106,1363981682800,Revise,changeResistance,resistor,reading_updated,6,6,18,20,6,0,0,0,14,0,N,1,1,2,1,0,0,0,1,0
a2,10009106,1363981683769,Revise,changeResistance,resistor,reading_updated,6,6,18,20,6,0,0,0,14,0,N,1,1,2,1,0,0,0,1,0
a2,10009106,1363981688503,Test,startMeasure,voltmeter,None,6,6,18,20,6,0,0,0,14,0,N,1,1,2,1,0,0,0,1,0
a2,10009106,1363981690519,Test,startMeasure,voltmeter,deliberate_measure,6,6,18,20,6,0,0,0,14,0,N,1,1,2,1,0,0,0,1,0
a2,10009106,1363981698550,Test,endMeasure,nonContactAmmeter,None,6,6,18,20,6,0,0,0,14,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981699362,Test,startMeasure,nonContactAmmeter,deliberate_measure,6,6,18,20,6,0,0,0,14,0,N,1,1,2,1,0,0,0,1,0
a2,10009106,1363981705112,Test,endMeasure,nonContactAmmeter,None,6,6,18,20,6,0,0,0,14,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981705237,Test,startMeasure,nonContactAmmeter,deliberate_measure,6,6,18,20,6,0,0,0,14,0,N,1,1,2,1,0,0,0,1,0
a2,10009106,1363981706675,Test,endMeasure,nonContactAmmeter,None,6,6,18,20,6,0,0,0,14,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981712644,Revise,changeResistance,resistor,current_change,6,6,18,20,6,0,0,0,14,0,N,1,1,2,1,0,0,0,1,0
a2,10009106,1363981713925,Revise,changeResistance,resistor,current_change,6,6,18,20,6,0,0,0,14,0,N,1,1,2,1,0,0,0,1,0
a2,10009106,1363981715550,Build,changeResistance,resistor,None,6,6,18,20,6,0,0,0,14,0,N,1,1,2,1,0,0,0,1,0
a2,10009106,1363981716112,Build,changeResistance,resistor,None,6,6,18,20,6,0,0,0,14,0,N,1,1,2,1,0,0,0,1,0
