student	Time Stamp	Action	Component	Nodes	Edges	ResistorValues
10009106	130.765999794	join	resistor	wire.3,wire.2,wire.1,wire.0,resistor.1,resistor.0,battery.0,battery.1	wire.3+battery.1,wire.2+battery.0,wire.2+resistor.0,wire.1+battery.1,wire.0+battery.0,wire.0+resistor.0	resistor.1=10.0,resistor.0=10.0
10009106	149.07799983	add	battery	wire.3,wire.2,wire.1,wire.0,resistor.1,resistor.0,battery.0,battery.1,battery.2	wire.3+battery.1,wire.2+battery.0,wire.2+resistor.0,wire.1+battery.1,wire.0+battery.0,wire.0+resistor.0	resistor.1=10.0,resistor.0=10.0
10009106	154.421999931	add	wire	wire.5,wire.3,wire.2,wire.1,wire.0,resistor.1,resistor.0,battery.0,battery.1,battery.2	wire.3+battery.1,wire.2+battery.0,wire.2+resistor.0,wire.1+battery.1,wire.0+battery.0,wire.0+resistor.0	resistor.1=10.0,resistor.0=10.0
10009106	155.796999931	join	wire	wire.5,wire.3,wire.2,wire.1,wire.0,resistor.1,resistor.0,battery.0,battery.1,battery.2	wire.5+battery.2,wire.3+battery.1,wire.2+battery.0,wire.2+resistor.0,wire.1+battery.1,wire.0+battery.0,wire.0+resistor.0	resistor.1=10.0,resistor.0=10.0
10009106	158.187999964	add	wire	wire.6,wire.5,wire.3,wire.2,wire.1,wire.0,resistor.1,resistor.0,battery.0,battery.1,battery.2	wire.5+battery.2,wire.3+battery.1,wire.2+battery.0,wire.2+resistor.0,wire.1+battery.1,wire.0+battery.0,wire.0+resistor.0	resistor.1=10.0,resistor.0=10.0
10009106	159.375	join	wire	wire.6,wire.5,wire.3,wire.2,wire.1,wire.0,resistor.1,resistor.0,battery.0,battery.1,battery.2	wire.6+battery.2,wire.5+battery.2,wire.3+battery.1,wire.2+battery.0,wire.2+resistor.0,wire.1+battery.1,wire.0+battery.0,wire.0+resistor.0	resistor.1=10.0,resistor.0=10.0
10009106	163.280999899	add	resistor	wire.6,wire.5,wire.3,wire.2,wire.1,wire.0,resistor.1,resistor.0,resistor.2,battery.0,battery.1,battery.2	wire.6+battery.2,wire.5+battery.2,wire.3+battery.1,wire.2+battery.0,wire.2+resistor.0,wire.1+battery.1,wire.0+battery.0,wire.0+resistor.0	resistor.1=10.0,resistor.0=10.0,resistor.2=10.0
10009106	166.421999931	join	resistor	wire.6,wire.5,wire.3,wire.2,wire.1,wire.0,resistor.1,resistor.0,resistor.2,battery.0,battery.1,battery.2	wire.6+resistor.1,wire.6+battery.2,wire.5+battery.2,wire.3+battery.1,wire.2+battery.0,wire.2+resistor.0,wire.1+battery.1,wire.0+battery.0,wire.0+resistor.0	resistor.1=10.0,resistor.0=10.0,resistor.2=10.0
10009106	167.687999964	add	wire	wire.7,wire.6,wire.5,wire.3,wire.2,wire.1,wire.0,resistor.1,resistor.0,resistor.2,battery.0,battery.1,battery.2	wire.6+resistor.1,wire.6+battery.2,wire.5+battery.2,wire.3+battery.1,wire.2+battery.0,wire.2+resistor.0,wire.1+battery.1,wire.0+battery.0,wire.0+resistor.0	resistor.1=10.0,resistor.0=10.0,resistor.2=10.0
10009106	168.921999931	join	wire	wire.7,wire.6,wire.5,wire.3,wire.2,wire.1,wire.0,resistor.1,resistor.0,resistor.2,battery.0,battery.1,battery.2	wire.7+resistor.2,wire.6+resistor.1,wire.6+battery.2,wire.5+battery.2,wire.3+battery.1,wire.2+battery.0,wire.2+resistor.0,wire.1+battery.1,wire.0+battery.0,wire.0+resistor.0	resistor.1=10.0,resistor.0=10.0,resistor.2=10.0
10009106	168.95299983	join	wire	wire.7,wire.6,wire.5,wire.3,wire.2,wire.1,wire.0,resistor.1,resistor.0,resistor.2,battery.0,battery.1,battery.2	wire.7+resistor.1,wire.7+resistor.2,wire.6+resistor.1,wire.6+battery.2,wire.5+battery.2,wire.3+battery.1,wire.2+battery.0,wire.2+resistor.0,wire.1+battery.1,wire.0+battery.0,wire.0+resistor.0	resistor.1=10.0,resistor.0=10.0,resistor.2=10.0
10009106	170.562999964	join	wire	wire.7,wire.6,wire.5,wire.3,wire.2,wire.1,wire.0,resistor.1,resistor.0,resistor.2,battery.0,battery.1,battery.2	wire.7+resistor.1,wire.7+resistor.2,wire.6+resistor.1,wire.6+battery.2,wire.5+battery.2,wire.5+resistor.2,wire.3+battery.1,wire.2+battery.0,wire.2+resistor.0,wire.1+battery.1,wire.0+battery.0,wire.0+resistor.0	resistor.1=10.0,resistor.0=10.0,resistor.2=10.0
10009106	176.062999964	add	resistor	wire.7,wire.6,wire.5,wire.3,wire.2,wire.1,wire.0,resistor.1,resistor.0,resistor.3,resistor.2,battery.0,battery.1,battery.2	wire.7+resistor.1,wire.7+resistor.2,wire.6+resistor.1,wire.6+battery.2,wire.5+battery.2,wire.5+resistor.2,wire.3+battery.1,wire.2+battery.0,wire.2+resistor.0,wire.1+battery.1,wire.0+battery.0,wire.0+resistor.0	resistor.1=10.0,resistor.0=10.0,resistor.3=10.0,resistor.2=10.0
10009106	177.82799983	add	resistor	wire.7,wire.6,wire.5,wire.3,wire.2,wire.1,wire.0,resistor.1,resistor.0,resistor.3,resistor.2,resistor.4,battery.0,battery.1,battery.2	wire.7+resistor.1,wire.7+resistor.2,wire.6+resistor.1,wire.6+battery.2,wire.5+battery.2,wire.5+resistor.2,wire.3+battery.1,wire.2+battery.0,wire.2+resistor.0,wire.1+battery.1,wire.0+battery.0,wire.0+resistor.0	resistor.1=10.0,resistor.0=10.0,resistor.3=10.0,resistor.2=10.0,resistor.4=10.0
10009106	178.640999794	join	resistor	wire.7,wire.6,wire.5,wire.3,wire.2,wire.1,wire.0,resistor.1,resistor.0,resistor.3,resistor.2,resistor.4,battery.0,battery.1,battery.2	wire.7+resistor.1,wire.7+resistor.2,wire.6+resistor.1,wire.6+battery.2,wire.5+battery.2,wire.5+resistor.2,wire.3+battery.1,wire.2+battery.0,wire.2+resistor.0,wire.1+battery.1,wire.0+battery.0,wire.0+resistor.0,resistor.3+resistor.4	resistor.1=10.0,resistor.0=10.0,resistor.3=10.0,resistor.2=10.0,resistor.4=10.0
10009106	179.390999794	add	resistor	wire.7,wire.6,wire.5,wire.3,wire.2,wire.1,wire.0,resistor.1,resistor.0,resistor.3,resistor.2,resistor.5,resistor.4,battery.0,battery.1,battery.2	wire.7+resistor.1,wire.7+resistor.2,wire.6+resistor.1,wire.6+battery.2,wire.5+battery.2,wire.5+resistor.2,wire.3+battery.1,wire.2+battery.0,wire.2+resistor.0,wire.1+battery.1,wire.0+battery.0,wire.0+resistor.0,resistor.3+resistor.4	resistor.1=10.0,resistor.0=10.0,resistor.3=10.0,resistor.2=10.0,resistor.5=10.0,resistor.4=10.0
10009106	180.546999931	join	resistor	wire.7,wire.6,wire.5,wire.3,wire.2,wire.1,wire.0,resistor.1,resistor.0,resistor.3,resistor.2,resistor.5,resistor.4,battery.0,battery.1,battery.2	wire.7+resistor.1,wire.7+resistor.2,wire.6+resistor.1,wire.6+battery.2,wire.5+battery.2,wire.5+resistor.2,wire.3+battery.1,wire.3+resistor.5,wire.2+battery.0,wire.2+resistor.0,wire.1+battery.1,wire.0+battery.0,wire.0+resistor.0,resistor.3+resistor.4	resistor.1=10.0,resistor.0=10.0,resistor.3=10.0,resistor.2=10.0,resistor.5=10.0,resistor.4=10.0
10009106	183.171999931	split	junction	wire.7,wire.6,wire.5,wire.3,wire.2,wire.1,wire.0,resistor.1,resistor.0,resistor.3,resistor.2,resistor.5,resistor.4,battery.0,battery.1,battery.2	wire.7+resistor.1,wire.7+resistor.2,wire.6+resistor.1,wire.6+battery.2,wire.5+battery.2,wire.5+resistor.2,wire.3+battery.1,wire.3+resistor.5,wire.2+battery.0,wire.2+resistor.0,wire.1+battery.1,wire.0+battery.0,wire.0+resistor.0	resistor.1=10.0,resistor.0=10.0,resistor.3=10.0,resistor.2=10.0,resistor.5=10.0,resistor.4=10.0
10009106	185.405999899	add	wire	wire.7,wire.6,wire.5,wire.3,wire.2,wire.1,wire.0,resistor.1,resistor.0,resistor.3,resistor.2,resistor.5,resistor.4,wire.8,battery.0,battery.1,battery.2	wire.7+resistor.1,wire.7+resistor.2,wire.6+resistor.1,wire.6+battery.2,wire.5+battery.2,wire.5+resistor.2,wire.3+battery.1,wire.3+resistor.5,wire.2+battery.0,wire.2+resistor.0,wire.1+battery.1,wire.0+battery.0,wire.0+resistor.0	resistor.1=10.0,resistor.0=10.0,resistor.3=10.0,resistor.2=10.0,resistor.5=10.0,resistor.4=10.0
10009106	186.687999964	join	wire	wire.7,wire.6,wire.5,wire.3,wire.2,wire.1,wire.0,resistor.1,resistor.0,resistor.3,resistor.2,resistor.5,resistor.4,wire.8,battery.0,battery.1,battery.2	wire.7+resistor.1,wire.7+resistor.2,wire.6+resistor.1,wire.6+battery.2,wire.5+battery.2,wire.5+resistor.2,wire.3+battery.1,wire.3+resistor.5,wire.2+battery.0,wire.2+resistor.0,wire.1+battery.1,wire.0+battery.0,wire.0+resistor.0,resistor.4+wire.8	resistor.1=10.0,resistor.0=10.0,resistor.3=10.0,resistor.2=10.0,resistor.5=10.0,resistor.4=10.0
10009106	188.265999794	join	wire	wire.7,wire.6,wire.5,wire.3,wire.2,wire.1,wire.0,resistor.1,resistor.0,resistor.3,resistor.2,resistor.5,resistor.4,wire.8,battery.0,battery.1,battery.2	wire.7+resistor.1,wire.7+resistor.2,wire.6+resistor.1,wire.6+battery.2,wire.5+battery.2,wire.5+resistor.2,wire.3+battery.1,wire.3+resistor.5,wire.2+battery.0,wire.2+resistor.0,wire.1+battery.1,wire.0+battery.0,wire.0+resistor.0,resistor.5+wire.8,resistor.4+wire.8	resistor.1=10.0,resistor.0=10.0,resistor.3=10.0,resistor.2=10.0,resistor.5=10.0,resistor.4=10.0
10009106	189.421999931	add	wire	wire.7,wire.6,wire.5,wire.3,wire.2,wire.1,wire.0,resistor.1,resistor.0,resistor.3,resistor.2,resistor.5,resistor.4,wire.9,wire.8,battery.0,battery.1,battery.2	wire.7+resistor.1,wire.7+resistor.2,wire.6+resistor.1,wire.6+battery.2,wire.5+battery.2,wire.5+resistor.2,wire.3+battery.1,wire.3+resistor.5,wire.2+battery.0,wire.2+resistor.0,wire.1+battery.1,wire.0+battery.0,wire.0+resistor.0,resistor.5+wire.8,resistor.4+wire.8	resistor.1=10.0,resistor.0=10.0,resistor.3=10.0,resistor.2=10.0,resistor.5=10.0,resistor.4=10.0
10009106	190.687999964	joinX	wire	wire.7,wire.6,wire.5,wire.3,wire.2,wire.1,wire.0,resistor.1,resistor.0,resistor.3,resistor.2,resistor.5,resistor.4,wire.9,wire.8,battery.0,battery.1,battery.2	wire.7+resistor.1,wire.7+resistor.2,wire.6+resistor.1,wire.6+battery.2,wire.5+battery.2,wire.5+resistor.2,wire.3+battery.1,wire.3+resistor.5,wire.2+battery.0,wire.2+resistor.0,wire.1+battery.1,wire.0+battery.0,wire.0+resistor.0,resistor.5+wire.8,resistor.4+wire.9,resistor.4+wire.8,wire.9+wire.8	resistor.1=10.0,resistor.0=10.0,resistor.3=10.0,resistor.2=10.0,resistor.5=10.0,resistor.4=10.0
10009106	191.921999931	split	junction	wire.7,wire.6,wire.5,wire.3,wire.2,wire.1,wire.0,resistor.1,resistor.0,resistor.3,resistor.2,resistor.5,resistor.4,wire.9,wire.8,battery.0,battery.1,battery.2	wire.7+resistor.1,wire.7+resistor.2,wire.6+resistor.1,wire.6+battery.2,wire.5+battery.2,wire.5+resistor.2,wire.3+battery.1,wire.3+resistor.5,wire.2+battery.0,wire.2+resistor.0,wire.1+battery.1,wire.0+battery.0,wire.0+resistor.0,resistor.5+wire.8	resistor.1=10.0,resistor.0=10.0,resistor.3=10.0,resistor.2=10.0,resistor.5=10.0,resistor.4=10.0
10009106	193.07799983	join	wire	wire.7,wire.6,wire.5,wire.3,wire.2,wire.1,wire.0,resistor.1,resistor.0,resistor.3,resistor.2,resistor.5,resistor.4,wire.9,wire.8,battery.0,battery.1,battery.2	wire.7+resistor.1,wire.7+resistor.2,wire.6+resistor.1,wire.6+battery.2,wire.5+battery.2,wire.5+resistor.2,wire.3+battery.1,wire.3+resistor.5,wire.2+battery.0,wire.2+resistor.0,wire.1+battery.1,wire.0+battery.0,wire.0+resistor.0,resistor.5+wire.8,resistor.4+wire.9	resistor.1=10.0,resistor.0=10.0,resistor.3=10.0,resistor.2=10.0,resistor.5=10.0,resistor.4=10.0
10009106	194.140999794	remove	wire	wire.7,wire.6,wire.5,wire.3,wire.2,wire.1,wire.0,resistor.1,resistor.0,resistor.3,resistor.2,resistor.5,resistor.4,wire.8,battery.0,battery.1,battery.2	wire.7+resistor.1,wire.7+resistor.2,wire.6+resistor.1,wire.6+battery.2,wire.5+battery.2,wire.5+resistor.2,wire.3+battery.1,wire.3+resistor.5,wire.2+battery.0,wire.2+resistor.0,wire.1+battery.1,wire.0+battery.0,wire.0+resistor.0,resistor.5+wire.8	resistor.1=10.0,resistor.0=10.0,resistor.3=10.0,resistor.2=10.0,resistor.5=10.0,resistor.4=10.0
10009106	195.140999794	join	resistor	wire.7,wire.6,wire.5,wire.3,wire.2,wire.1,wire.0,resistor.1,resistor.0,resistor.3,resistor.2,resistor.5,resistor.4,wire.8,battery.0,battery.1,battery.2	wire.7+resistor.1,wire.7+resistor.2,wire.6+resistor.1,wire.6+battery.2,wire.5+battery.2,wire.5+resistor.2,wire.3+battery.1,wire.3+resistor.5,wire.2+battery.0,wire.2+resistor.0,wire.1+battery.1,wire.0+battery.0,wire.0+resistor.0,resistor.5+wire.8,resistor.4+wire.8	resistor.1=10.0,resistor.0=10.0,resistor.3=10.0,resistor.2=10.0,resistor.5=10.0,resistor.4=10.0
10009106	196.468999863	add	wire	wire.7,wire.6,wire.5,wire.3,wire.2,wire.1,wire.0,resistor.1,resistor.0,resistor.3,resistor.2,resistor.5,resistor.4,wire.8,battery.0,battery.1,battery.2,wire.10	wire.7+resistor.1,wire.7+resistor.2,wire.6+resistor.1,wire.6+battery.2,wire.5+battery.2,wire.5+resistor.2,wire.3+battery.1,wire.3+resistor.5,wire.2+battery.0,wire.2+resistor.0,wire.1+battery.1,wire.0+battery.0,wire.0+resistor.0,resistor.5+wire.8,resistor.4+wire.8	resistor.1=10.0,resistor.0=10.0,resistor.3=10.0,resistor.2=10.0,resistor.5=10.0,resistor.4=10.0
10009106	198.093999863	join	wire	wire.7,wire.6,wire.5,wire.3,wire.2,wire.1,wire.0,resistor.1,resistor.0,resistor.3,resistor.2,resistor.5,resistor.4,wire.8,battery.0,battery.1,battery.2,wire.10	wire.7+resistor.1,wire.7+resistor.2,wire.6+resistor.1,wire.6+battery.2,wire.5+battery.2,wire.5+resistor.2,wire.3+battery.1,wire.3+resistor.5,wire.2+battery.0,wire.2+resistor.0,wire.1+battery.1,wire.0+battery.0,wire.0+resistor.0,resistor.3+wire.10,resistor.5+wire.8,resistor.4+wire.8	resistor.1=10.0,resistor.0=10.0,resistor.3=10.0,resistor.2=10.0,resistor.5=10.0,resistor.4=10.0
10009106	198.140999794	join	wire	wire.7,wire.6,wire.5,wire.3,wire.2,wire.1,wire.0,resistor.1,resistor.0,resistor.3,resistor.2,resistor.5,resistor.4,wire.8,battery.0,battery.1,battery.2,wire.10	wire.7+resistor.1,wire.7+resistor.2,wire.6+resistor.1,wire.6+battery.2,wire.5+battery.2,wire.5+resistor.2,wire.3+battery.1,wire.3+resistor.5,wire.2+battery.0,wire.2+resistor.0,wire.1+battery.1,wire.0+battery.0,wire.0+resistor.0,resistor.3+wire.10,resistor.5+wire.8,resistor.4+wire.10,resistor.4+wire.8	resistor.1=10.0,resistor.0=10.0,resistor.3=10.0,resistor.2=10.0,resistor.5=10.0,resistor.4=10.0
10009106	205.07799983	remove	resistor	wire.7,wire.6,wire.5,wire.3,wire.2,wire.1,wire.0,resistor.1,resistor.0,resistor.2,resistor.5,resistor.4,wire.8,battery.0,battery.1,battery.2,wire.10	wire.7+resistor.1,wire.7+resistor.2,wire.6+resistor.1,wire.6+battery.2,wire.5+battery.2,wire.5+resistor.2,wire.3+battery.1,wire.3+resistor.5,wire.2+battery.0,wire.2+resistor.0,wire.1+battery.1,wire.0+battery.0,wire.0+resistor.0,resistor.5+wire.8,resistor.4+wire.10,resistor.4+wire.8	resistor.1=10.0,resistor.0=10.0,resistor.3=10.0,resistor.2=10.0,resistor.5=10.0,resistor.4=10.0
10009106	209.343999863	add	resistor	wire.7,wire.6,wire.5,wire.3,wire.2,wire.1,wire.0,resistor.1,resistor.0,resistor.2,resistor.5,resistor.4,wire.8,battery.0,battery.1,battery.2,wire.10,resistor.6	wire.7+resistor.1,wire.7+resistor.2,wire.6+resistor.1,wire.6+battery.2,wire.5+battery.2,wire.5+resistor.2,wire.3+battery.1,wire.3+resistor.5,wire.2+battery.0,wire.2+resistor.0,wire.1+battery.1,wire.0+battery.0,wire.0+resistor.0,resistor.5+wire.8,resistor.4+wire.10,resistor.4+wire.8	resistor.1=10.0,resistor.0=10.0,resistor.3=10.0,resistor.2=10.0,resistor.5=10.0,resistor.4=10.0,resistor.6=10.0
10009106	210.905999899	join	resistor	wire.7,wire.6,wire.5,wire.3,wire.2,wire.1,wire.0,resistor.1,resistor.0,resistor.2,resistor.5,resistor.4,wire.8,battery.0,battery.1,battery.2,wire.10,resistor.6	wire.7+resistor.1,wire.7+resistor.2,wire.6+resistor.1,wire.6+battery.2,wire.5+battery.2,wire.5+resistor.2,wire.3+battery.1,wire.3+resistor.5,wire.2+battery.0,wire.2+resistor.0,wire.1+battery.1,wire.0+battery.0,wire.0+resistor.0,resistor.5+wire.8,resistor.4+wire.10,resistor.4+wire.8,wire.10+resistor.6	resistor.1=10.0,resistor.0=10.0,resistor.3=10.0,resistor.2=10.0,resistor.5=10.0,resistor.4=10.0,resistor.6=10.0
10009106	212.108999968	join	resistor	wire.7,wire.6,wire.5,wire.3,wire.2,wire.1,wire.0,resistor.1,resistor.0,resistor.2,resistor.5,resistor.4,wire.8,battery.0,battery.1,battery.2,wire.10,resistor.6	wire.7+resistor.1,wire.7+resistor.2,wire.6+resistor.1,wire.6+battery.2,wire.5+battery.2,wire.5+resistor.2,wire.3+battery.1,wire.3+resistor.5,wire.2+battery.0,wire.2+resistor.0,wire.1+battery.1,wire.1+resistor.6,wire.0+battery.0,wire.0+resistor.0,resistor.5+wire.8,resistor.4+wire.10,resistor.4+wire.8,wire.10+resistor.6	resistor.1=10.0,resistor.0=10.0,resistor.3=10.0,resistor.2=10.0,resistor.5=10.0,resistor.4=10.0,resistor.6=10.0
10009106	229.405999899	add	battery	wire.7,wire.6,wire.5,wire.3,wire.2,wire.1,wire.0,resistor.1,resistor.0,resistor.2,resistor.5,resistor.4,resistor.6,battery.0,battery.1,battery.2,battery.3,wire.10,wire.8	wire.7+resistor.1,wire.7+resistor.2,wire.6+resistor.1,wire.6+battery.2,wire.5+battery.2,wire.5+resistor.2,wire.3+battery.1,wire.3+resistor.5,wire.2+battery.0,wire.2+resistor.0,wire.1+battery.1,wire.1+resistor.6,wire.0+battery.0,wire.0+resistor.0,resistor.5+wire.8,resistor.4+wire.10,resistor.4+wire.8,resistor.6+wire.10	resistor.1=10.0,resistor.0=10.0,resistor.3=10.0,resistor.2=10.0,resistor.5=10.0,resistor.4=10.0,resistor.6=10.0
10009106	235.140999794	add	battery	wire.7,wire.6,wire.5,wire.3,wire.2,wire.1,wire.0,resistor.1,resistor.0,resistor.2,resistor.5,resistor.4,wire.8,battery.0,battery.1,battery.2,battery.3,battery.4,wire.10,resistor.6	wire.7+resistor.1,wire.7+resistor.2,wire.6+resistor.1,wire.6+battery.2,wire.5+battery.2,wire.5+resistor.2,wire.3+battery.1,wire.3+resistor.5,wire.2+battery.0,wire.2+resistor.0,wire.1+battery.1,wire.1+resistor.6,wire.0+battery.0,wire.0+resistor.0,resistor.5+wire.8,resistor.4+wire.10,resistor.4+wire.8,wire.10+resistor.6	resistor.1=10.0,resistor.0=10.0,resistor.3=10.0,resistor.2=10.0,resistor.5=10.0,resistor.4=10.0,resistor.6=10.0
10009106	236.905999899	add	battery	resistor.6,wire.7,wire.6,wire.5,wire.3,wire.2,wire.1,wire.0,resistor.1,resistor.0,resistor.2,resistor.5,resistor.4,wire.8,battery.0,battery.1,battery.2,battery.3,battery.4,battery.5,wire.10	resistor.6+wire.1,resistor.6+wire.10,wire.7+resistor.1,wire.7+resistor.2,wire.6+resistor.1,wire.6+battery.2,wire.5+battery.2,wire.5+resistor.2,wire.3+battery.1,wire.3+resistor.5,wire.2+battery.0,wire.2+resistor.0,wire.1+battery.1,wire.0+battery.0,wire.0+resistor.0,resistor.5+wire.8,resistor.4+wire.10,resistor.4+wire.8	resistor.1=10.0,resistor.0=10.0,resistor.3=10.0,resistor.2=10.0,resistor.5=10.0,resistor.4=10.0,resistor.6=10.0
10009106	243.390999794	add	resistor	resistor.6,wire.7,wire.6,wire.5,wire.3,wire.2,wire.1,resistor.1,resistor.0,resistor.2,resistor.5,resistor.4,resistor.7,wire.8,battery.0,battery.1,battery.2,battery.3,battery.4,battery.5,wire.10,wire.0	resistor.6+wire.1,resistor.6+wire.10,wire.7+resistor.1,wire.7+resistor.2,wire.6+resistor.1,wire.6+battery.2,wire.5+battery.2,wire.5+resistor.2,wire.3+battery.1,wire.3+resistor.5,wire.2+battery.0,wire.2+resistor.0,wire.1+battery.1,resistor.0+wire.0,resistor.5+wire.8,resistor.4+wire.10,resistor.4+wire.8,battery.0+wire.0	resistor.1=10.0,resistor.0=10.0,resistor.3=10.0,resistor.2=10.0,resistor.5=10.0,resistor.4=10.0,resistor.7=10.0,resistor.6=10.0
10009106	248.093999863	add	resistor	resistor.6,wire.7,resistor.8,wire.5,wire.3,wire.2,wire.1,resistor.1,resistor.0,resistor.2,resistor.5,resistor.4,resistor.7,wire.8,battery.0,battery.1,battery.2,battery.3,battery.4,battery.5,wire.6,wire.10,wire.0	resistor.6+wire.1,resistor.6+wire.10,wire.7+resistor.1,wire.7+resistor.2,wire.5+battery.2,wire.5+resistor.2,wire.3+battery.1,wire.3+resistor.5,wire.2+battery.0,wire.2+resistor.0,wire.1+battery.1,resistor.1+wire.6,resistor.0+wire.0,resistor.5+wire.8,resistor.4+wire.10,resistor.4+wire.8,battery.0+wire.0,battery.2+wire.6	resistor.8=10.0,resistor.1=10.0,resistor.0=10.0,resistor.3=10.0,resistor.2=10.0,resistor.5=10.0,resistor.4=10.0,resistor.7=10.0,resistor.6=10.0
10009106	250.062999964	add	wire	resistor.6,wire.7,resistor.8,wire.5,wire.3,wire.2,wire.1,resistor.1,resistor.0,resistor.2,resistor.5,resistor.4,resistor.7,wire.8,battery.0,battery.1,battery.2,battery.3,battery.4,battery.5,wire.6,wire.11,wire.10,wire.0	resistor.6+wire.1,resistor.6+wire.10,wire.7+resistor.1,wire.7+resistor.2,wire.5+battery.2,wire.5+resistor.2,wire.3+battery.1,wire.3+resistor.5,wire.2+battery.0,wire.2+resistor.0,wire.1+battery.1,resistor.1+wire.6,resistor.0+wire.0,resistor.5+wire.8,resistor.4+wire.10,resistor.4+wire.8,battery.0+wire.0,battery.2+wire.6	resistor.8=10.0,resistor.1=10.0,resistor.0=10.0,resistor.3=10.0,resistor.2=10.0,resistor.5=10.0,resistor.4=10.0,resistor.7=10.0,resistor.6=10.0
10009106	251.20299983	join	wire	resistor.6,wire.7,resistor.8,wire.5,wire.3,wire.2,wire.1,resistor.1,resistor.0,resistor.2,resistor.5,resistor.4,resistor.7,wire.8,battery.0,battery.1,battery.2,battery.3,battery.4,battery.5,wire.6,wire.11,wire.10,wire.0	resistor.6+wire.1,resistor.6+wire.10,wire.7+resistor.1,wire.7+resistor.2,resistor.8+wire.11,wire.5+battery.2,wire.5+resistor.2,wire.3+battery.1,wire.3+resistor.5,wire.2+battery.0,wire.2+resistor.0,wire.1+battery.1,resistor.1+wire.6,resistor.0+wire.0,resistor.5+wire.8,resistor.4+wire.10,resistor.4+wire.8,battery.0+wire.0,battery.2+wire.6	resistor.8=10.0,resistor.1=10.0,resistor.0=10.0,resistor.3=10.0,resistor.2=10.0,resistor.5=10.0,resistor.4=10.0,resistor.7=10.0,resistor.6=10.0
